#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,26,28,6,7.4,20,2,"[12, 16, 18, 26, 29, 49]","[4, 2, 8, 3, 20]"
2,29,27,4,15.0,24,2,"[10, 34, 36, 55]","[24, 2, 19]"
3,25,29,6,9.0,14,1,"[13, 26, 40, 41, 51, 58]","[13, 14, 1, 10, 7]"
4,27,29,4,12.0,25,2,"[5, 30, 32, 41]","[25, 2, 9]"
5,28,25,7,6.666666666666667,12,1,"[5, 9, 19, 31, 36, 44, 45]","[4, 10, 12, 5, 8, 1]"
6,27,28,5,12.5,21,4,"[9, 17, 34, 38, 59]","[8, 17, 4, 21]"
7,26,29,5,13.0,28,3,"[5, 8, 24, 52, 57]","[3, 16, 28, 5]"
8,23,33,4,13.0,29,1,"[10, 19, 20, 49]","[9, 1, 29]"
9,32,23,5,14.25,41,3,"[2, 43, 51, 54, 59]","[41, 8, 3, 5]"
10,29,26,5,8.5,12,5,"[14, 24, 29, 41, 48]","[10, 5, 12, 7]"
11,29,24,7,8.833333333333334,21,2,"[3, 10, 22, 24, 31, 52, 56]","[7, 12, 2, 7, 21, 4]"
12,25,34,1,0,0,0,[50],[]
13,18,36,6,8.0,13,3,"[2, 12, 20, 33, 39, 42]","[10, 8, 13, 6, 3]"
14,22,33,5,12.5,25,2,"[4, 18, 20, 45, 54]","[14, 2, 25, 9]"
15,25,33,2,24.0,24,24,"[19, 43]",[24]
16,32,22,6,9.6,20,3,"[4, 16, 25, 45, 49, 52]","[12, 9, 20, 4, 3]"
17,27,26,7,8.5,26,2,"[0, 26, 30, 33, 35, 44, 51]","[26, 4, 3, 2, 9, 7]"
18,30,28,2,16.0,16,16,"[31, 47]",[16]
19,22,34,4,12.666666666666666,17,10,"[6, 16, 27, 44]","[10, 11, 17]"
20,29,26,5,12.0,33,1,"[6, 16, 20, 21, 54]","[10, 4, 1, 33]"
21,21,30,9,6.0,16,1,"[0, 4, 8, 10, 26, 38, 39, 40, 48]","[4, 4, 2, 16, 12, 1, 1, 8]"
22,29,26,5,13.25,24,5,"[6, 11, 20, 35, 59]","[5, 9, 15, 24]"
23,26,30,4,9.333333333333334,16,2,"[10, 26, 28, 38]","[16, 2, 10]"
24,32,21,7,6.666666666666667,19,1,"[4, 6, 12, 13, 20, 25, 44]","[2, 6, 1, 7, 5, 19]"
25,30,23,7,8.166666666666666,22,1,"[4, 7, 12, 28, 29, 51, 53]","[3, 5, 16, 1, 22, 2]"
26,26,29,5,12.75,33,3,"[2, 11, 17, 50, 53]","[9, 6, 33, 3]"
27,23,29,8,5.142857142857143,13,1,"[3, 8, 9, 12, 16, 22, 26, 39]","[5, 1, 3, 4, 6, 4, 13]"
28,29,27,4,15.333333333333334,35,3,"[2, 5, 40, 48]","[3, 35, 8]"
29,22,35,3,16.5,23,10,"[5, 15, 38]","[10, 23]"
30,28,31,1,0,0,0,[31],[]
31,22,33,5,9.75,17,1,"[17, 26, 38, 39, 56]","[9, 12, 1, 17]"
32,33,25,2,11.0,11,11,"[11, 22]",[11]
33,30,25,5,13.25,28,3,"[1, 4, 11, 39, 54]","[3, 7, 28, 15]"
34,23,25,12,3.909090909090909,8,1,"[8, 12, 15, 17, 25, 32, 40, 41, 43, 44, 47, 51]","[4, 3, 2, 8, 7, 8, 1, 2, 1, 3, 4]"
35,26,28,6,9.4,16,1,"[11, 17, 18, 27, 43, 58]","[6, 1, 9, 16, 15]"
36,21,32,7,5.5,11,2,"[18, 29, 31, 40, 44, 46, 51]","[11, 2, 9, 4, 2, 5]"
37,26,32,2,13.0,13,13,"[1, 14]",[13]
