#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,28,29,3,29.0,30,28,"[1, 29, 59]","[28, 30]"
2,30,21,9,5.125,14,2,"[16, 18, 22, 25, 29, 38, 52, 54, 57]","[2, 4, 3, 4, 9, 14, 2, 3]"
3,33,23,4,14.666666666666666,24,4,"[11, 15, 31, 55]","[4, 16, 24]"
4,25,30,5,10.75,16,7,"[16, 27, 43, 50, 59]","[11, 16, 7, 9]"
5,34,21,5,7.75,25,1,"[15, 18, 19, 21, 46]","[3, 1, 2, 25]"
6,25,28,7,7.5,15,2,"[4, 13, 19, 28, 43, 45, 49]","[9, 6, 9, 15, 2, 4]"
7,26,30,4,4.0,8,1,"[40, 43, 51, 52]","[3, 8, 1]"
8,29,25,6,11.2,21,2,"[3, 24, 26, 43, 49, 59]","[21, 2, 17, 6, 10]"
9,31,22,7,7.333333333333333,20,1,"[10, 18, 21, 31, 33, 34, 54]","[8, 3, 10, 2, 1, 20]"
10,28,26,6,11.4,21,1,"[0, 20, 32, 53, 56, 57]","[20, 12, 21, 3, 1]"
11,26,31,3,10.5,17,4,"[28, 32, 49]","[4, 17]"
12,19,37,4,12.0,19,4,"[22, 26, 39, 58]","[4, 13, 19]"
13,27,30,3,22.5,39,6,"[14, 53, 59]","[39, 6]"
14,28,25,7,5.5,13,1,"[11, 12, 19, 24, 26, 39, 44]","[1, 7, 5, 2, 13, 5]"
15,26,26,8,6.285714285714286,14,1,"[13, 17, 22, 23, 32, 35, 43, 57]","[4, 5, 1, 9, 3, 8, 14]"
16,26,29,5,13.75,30,3,"[1, 11, 41, 53, 56]","[10, 30, 12, 3]"
17,24,29,7,4.833333333333333,13,2,"[30, 32, 34, 37, 44, 57, 59]","[2, 2, 3, 7, 13, 2]"
18,28,26,6,10.0,18,1,"[4, 15, 33, 34, 44, 54]","[11, 18, 1, 10, 10]"
19,28,29,3,4.0,7,1,"[34, 41, 42]","[7, 1]"
20,29,25,6,7.0,16,1,"[16, 21, 37, 38, 48, 51]","[5, 16, 1, 10, 3]"
21,31,21,8,7.714285714285714,19,2,"[5, 24, 28, 34, 47, 52, 57, 59]","[19, 4, 6, 13, 5, 5, 2]"
22,27,26,7,6.166666666666667,14,1,"[22, 30, 44, 52, 55, 56, 59]","[8, 14, 8, 3, 1, 3]"
23,25,27,8,8.428571428571429,26,3,"[0, 10, 36, 42, 46, 49, 52, 59]","[10, 26, 6, 4, 3, 3, 7]"
24,23,32,5,10.5,16,1,"[9, 10, 26, 42, 51]","[1, 16, 16, 9]"
25,18,32,10,5.777777777777778,18,1,"[3, 7, 10, 11, 16, 21, 25, 28, 37, 55]","[4, 3, 1, 5, 5, 4, 3, 9, 18]"
26,27,27,6,10.4,19,3,"[5, 24, 32, 45, 54, 57]","[19, 8, 13, 9, 3]"
27,26,24,10,6.444444444444445,19,2,"[1, 8, 13, 32, 34, 40, 44, 48, 53, 59]","[7, 5, 19, 2, 6, 4, 4, 5, 6]"
28,29,25,6,10.8,35,1,"[4, 39, 47, 48, 52, 58]","[35, 8, 1, 4, 6]"
29,28,25,7,6.333333333333333,17,1,"[6, 13, 30, 31, 33, 36, 44]","[7, 17, 1, 2, 3, 8]"
30,35,21,4,7.0,14,1,"[22, 36, 42, 43]","[14, 6, 1]"
31,32,25,3,14.5,19,10,"[13, 32, 42]","[19, 10]"
32,24,28,8,7.142857142857143,15,1,"[7, 18, 19, 27, 29, 44, 45, 57]","[11, 1, 8, 2, 15, 1, 12]"
33,33,23,4,11.666666666666666,29,1,"[12, 13, 42, 47]","[1, 29, 5]"
34,33,22,5,12.5,18,2,"[4, 6, 23, 36, 54]","[2, 17, 13, 18]"
35,21,36,3,11.5,17,6,"[8, 14, 31]","[6, 17]"
36,26,33,1,0,0,0,[42],[]
37,26,27,7,8.833333333333334,18,1,"[4, 6, 18, 36, 37, 54, 57]","[2, 12, 18, 1, 17, 3]"
38,19,33,8,6.857142857142857,15,1,"[2, 8, 20, 23, 30, 31, 46, 50]","[6, 12, 3, 7, 1, 15, 4]"
39,28,30,2,39.0,39,39,"[19, 58]",[39]
40,30,25,5,12.75,23,3,"[1, 17, 40, 43, 52]","[16, 23, 3, 9]"
41,30,21,9,6.0,25,1,"[0, 25, 27, 31, 34, 36, 42, 43, 48]","[25, 2, 4, 3, 2, 6, 1, 5]"
42,33,24,3,4.0,5,3,"[48, 51, 56]","[3, 5]"
43,24,26,10,5.666666666666667,20,1,"[0, 20, 24, 29, 37, 38, 40, 44, 50, 51]","[20, 4, 5, 8, 1, 2, 4, 6, 1]"
44,31,19,10,6.0,13,2,"[4, 8, 14, 18, 28, 30, 37, 50, 54, 58]","[4, 6, 4, 10, 2, 7, 13, 4, 4]"
45,32,22,6,9.2,28,1,"[5, 6, 34, 38, 48, 51]","[1, 28, 4, 10, 3]"
46,29,24,7,8.666666666666666,12,3,"[4, 7, 18, 30, 38, 49, 56]","[3, 11, 12, 8, 11, 7]"
47,24,28,8,6.428571428571429,22,2,"[0, 2, 8, 13, 17, 21, 43, 45]","[2, 6, 5, 4, 4, 22, 2]"
48,28,23,9,6.875,13,1,"[4, 5, 16, 25, 35, 40, 53, 55, 59]","[1, 11, 9, 10, 5, 13, 2, 4]"
49,29,25,6,2.4,3,1,"[17, 19, 22, 25, 28, 29]","[2, 3, 3, 3, 1]"
50,15,37,8,5.571428571428571,19,1,"[11, 15, 21, 24, 28, 47, 49, 50]","[4, 6, 3, 4, 19, 2, 1]"
51,28,26,6,6.2,19,1,"[18, 21, 40, 44, 45, 49]","[3, 19, 4, 1, 4]"
52,24,28,8,7.142857142857143,21,1,"[3, 10, 15, 16, 18, 30, 51, 53]","[7, 5, 1, 2, 12, 21, 2]"
53,23,33,4,8.0,14,2,"[6, 20, 22, 30]","[14, 2, 8]"
54,24,31,5,8.5,13,6,"[1, 14, 23, 29, 35]","[13, 9, 6, 6]"
55,29,28,3,10.5,13,8,"[28, 41, 49]","[13, 8]"
56,28,30,2,9.0,9,9,"[47, 56]",[9]
57,34,21,5,12.0,21,3,"[6, 20, 41, 44, 54]","[14, 21, 3, 10]"
58,39,20,1,0,0,0,[27],[]
59,25,27,8,6.0,14,3,"[1, 4, 7, 12, 15, 23, 29, 43]","[3, 3, 5, 3, 8, 6, 14]"
60,25,33,2,24.0,24,24,"[13, 37]",[24]
61,28,27,5,10.75,27,4,"[13, 17, 21, 29, 56]","[4, 4, 8, 27]"
62,24,25,11,5.5,19,1,"[0, 5, 6, 7, 11, 12, 31, 37, 40, 52, 55]","[5, 1, 1, 4, 1, 19, 6, 3, 12, 3]"
63,26,26,8,8.142857142857142,20,1,"[1, 9, 29, 30, 31, 44, 53, 58]","[8, 20, 1, 1, 13, 9, 5]"
64,24,32,4,12.666666666666666,18,2,"[18, 36, 38, 56]","[18, 2, 18]"
65,27,29,4,15.0,20,8,"[14, 22, 39, 59]","[8, 17, 20]"
66,29,26,5,6.5,14,1,"[31, 33, 47, 56, 57]","[2, 14, 9, 1]"
67,23,34,3,15.5,28,3,"[12, 40, 43]","[28, 3]"
68,20,33,7,8.333333333333334,28,1,"[0, 1, 10, 38, 42, 47, 50]","[1, 9, 28, 4, 5, 3]"
69,23,29,8,6.857142857142857,15,2,"[1, 16, 25, 30, 35, 37, 40, 49]","[15, 9, 5, 5, 2, 3, 9]"
70,26,23,11,5.5,19,1,"[1, 6, 7, 12, 14, 15, 21, 23, 36, 37, 56]","[5, 1, 5, 2, 1, 6, 2, 13, 1, 19]"
71,32,24,4,18.0,39,1,"[1, 2, 16, 55]","[1, 14, 39]"
72,23,27,10,3.3333333333333335,10,1,"[1, 8, 11, 12, 13, 16, 19, 20, 21, 31]","[7, 3, 1, 1, 3, 3, 1, 1, 10]"
73,25,28,7,5.333333333333333,10,1,"[0, 1, 7, 8, 15, 22, 32]","[1, 6, 1, 7, 7, 10]"
74,24,32,4,12.333333333333334,21,6,"[20, 41, 51, 57]","[21, 10, 6]"
75,21,31,8,4.428571428571429,7,3,"[2, 6, 10, 16, 23, 27, 30, 33]","[4, 4, 6, 7, 4, 3, 3]"
76,27,30,3,24.5,44,5,"[1, 6, 50]","[5, 44]"
77,27,26,7,7.5,24,1,"[14, 17, 41, 49, 51, 52, 59]","[3, 24, 8, 2, 1, 7]"
78,21,31,8,6.857142857142857,14,1,"[4, 5, 6, 14, 24, 29, 38, 52]","[1, 1, 8, 10, 5, 9, 14]"
79,21,34,5,13.25,27,1,"[6, 20, 47, 48, 59]","[14, 27, 1, 11]"
80,27,25,8,7.714285714285714,14,1,"[1, 4, 15, 19, 31, 45, 54, 55]","[3, 11, 4, 12, 14, 9, 1]"
81,37,22,1,0,0,0,[15],[]
82,21,32,7,6.0,12,1,"[21, 26, 36, 42, 44, 56, 57]","[5, 10, 6, 2, 12, 1]"
83,28,24,8,5.714285714285714,15,1,"[8, 12, 17, 18, 23, 38, 45, 48]","[4, 5, 1, 5, 15, 7, 3]"
84,28,26,6,11.2,23,1,"[2, 14, 16, 39, 57, 58]","[12, 2, 23, 18, 1]"
85,25,29,6,8.0,17,1,"[3, 6, 18, 25, 26, 43]","[3, 12, 7, 1, 17]"
86,30,28,2,10.0,10,10,"[0, 10]",[10]
87,31,23,6,8.4,29,1,"[4, 5, 14, 16, 45, 46]","[1, 9, 2, 29, 1]"
88,32,23,5,9.75,24,1,"[5, 8, 9, 33, 44]","[3, 1, 24, 11]"
89,21,31,8,7.428571428571429,18,1,"[7, 12, 13, 19, 29, 47, 54, 59]","[5, 1, 6, 10, 18, 7, 5]"
90,34,23,3,11.5,21,2,"[16, 18, 39]","[2, 21]"
91,20,35,5,6.75,11,3,"[6, 9, 20, 27, 33]","[3, 11, 7, 6]"
92,20,30,10,4.888888888888889,10,1,"[3, 13, 18, 28, 30, 33, 38, 39, 41, 47]","[10, 5, 10, 2, 3, 5, 1, 2, 6]"
93,25,30,5,7.75,13,1,"[23, 34, 35, 41, 54]","[11, 1, 6, 13]"
94,31,28,1,0,0,0,[14],[]
95,28,28,4,13.333333333333334,26,2,"[3, 29, 41, 43]","[26, 12, 2]"
96,30,25,5,11.25,16,1,"[10, 23, 39, 54, 55]","[13, 16, 15, 1]"
97,27,29,4,9.0,16,1,"[15, 31, 32, 42]","[16, 1, 10]"
98,24,31,5,6.0,14,2,"[2, 16, 21, 23, 26]","[14, 5, 2, 3]"
99,16,34,10,5.111111111111111,12,1,"[6, 9, 13, 16, 24, 30, 42, 46, 47, 52]","[3, 4, 3, 8, 6, 12, 4, 1, 5]"
100,23,28,9,5.75,9,2,"[8, 14, 23, 32, 37, 42, 47, 52, 54]","[6, 9, 9, 5, 5, 5, 5, 2]"
