#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,33,24,3,16.0,19,13,"[21, 40, 53]","[19, 13]"
2,21,33,6,10.0,26,3,"[9, 13, 21, 24, 33, 59]","[4, 8, 3, 9, 26]"
3,28,26,6,6.6,14,1,"[22, 36, 39, 51, 54, 55]","[14, 3, 12, 3, 1]"
4,28,27,5,12.25,22,5,"[5, 27, 41, 46, 54]","[22, 14, 5, 8]"
5,19,35,6,11.4,27,3,"[2, 29, 42, 47, 50, 59]","[27, 13, 5, 3, 9]"
6,25,30,5,9.5,13,7,"[19, 26, 35, 48, 57]","[7, 9, 13, 9]"
7,26,27,7,9.833333333333334,30,1,"[0, 2, 4, 34, 35, 51, 59]","[2, 2, 30, 1, 16, 8]"
8,29,24,7,5.833333333333333,22,1,"[8, 9, 10, 14, 18, 40, 43]","[1, 1, 4, 4, 22, 3]"
9,22,38,0,0,0,0,[],[]
10,28,27,5,14.0,31,3,"[3, 34, 37, 55, 59]","[31, 3, 18, 4]"
11,24,29,7,7.833333333333333,25,1,"[11, 15, 40, 45, 51, 52, 58]","[4, 25, 5, 6, 1, 6]"
12,33,20,7,9.0,13,4,"[4, 8, 20, 31, 35, 48, 58]","[4, 12, 11, 4, 13, 10]"
13,23,33,4,17.333333333333332,27,11,"[1, 15, 42, 53]","[14, 27, 11]"
14,23,26,11,4.8,15,1,"[10, 13, 14, 23, 24, 30, 32, 36, 40, 43, 58]","[3, 1, 9, 1, 6, 2, 4, 4, 3, 15]"
15,29,22,9,6.125,14,2,"[3, 11, 15, 19, 29, 33, 35, 49, 52]","[8, 4, 4, 10, 4, 2, 14, 3]"
16,27,29,4,8.666666666666666,13,5,"[26, 39, 47, 52]","[13, 8, 5]"
17,30,27,3,20.0,21,19,"[0, 19, 40]","[19, 21]"
18,27,26,7,7.666666666666667,28,1,"[7, 35, 38, 50, 51, 52, 53]","[28, 3, 12, 1, 1, 1]"
19,29,23,8,6.571428571428571,19,1,"[12, 14, 25, 26, 31, 37, 56, 58]","[2, 11, 1, 5, 6, 19, 2]"
20,23,32,5,10.75,20,5,"[10, 19, 39, 44, 53]","[9, 20, 5, 9]"
21,28,29,3,8.0,14,2,"[16, 18, 32]","[2, 14]"
22,26,28,6,8.4,21,2,"[13, 18, 26, 47, 49, 55]","[5, 8, 21, 2, 6]"
23,23,32,5,9.25,12,4,"[7, 16, 28, 40, 44]","[9, 12, 12, 4]"
24,29,27,4,9.0,9,9,"[22, 31, 40, 49]","[9, 9, 9]"
25,33,24,3,24.0,46,2,"[6, 52, 54]","[46, 2]"
26,27,28,5,12.75,25,5,"[6, 31, 36, 41, 57]","[25, 5, 5, 16]"
27,22,30,8,6.571428571428571,23,1,"[3, 6, 8, 16, 17, 40, 47, 49]","[3, 2, 8, 1, 23, 7, 2]"
28,32,24,4,15.0,22,9,"[13, 35, 44, 58]","[22, 9, 14]"
29,23,31,6,8.6,24,1,"[0, 6, 7, 11, 35, 43]","[6, 1, 4, 24, 8]"
30,21,33,6,7.4,15,1,"[19, 24, 28, 43, 44, 56]","[5, 4, 15, 1, 12]"
31,31,26,3,8.0,13,3,"[2, 15, 18]","[13, 3]"
32,29,27,4,6.333333333333333,10,1,"[12, 20, 30, 31]","[8, 10, 1]"
33,27,28,5,5.5,11,1,"[12, 14, 25, 33, 34]","[2, 11, 8, 1]"
34,26,32,2,1.0,1,1,"[50, 51]",[1]
35,22,28,10,5.111111111111111,14,1,"[3, 5, 8, 9, 12, 14, 28, 38, 46, 49]","[2, 3, 1, 3, 2, 14, 10, 8, 3]"
36,27,30,3,23.5,32,15,"[4, 36, 51]","[32, 15]"
37,28,28,4,18.0,34,3,"[1, 35, 52, 55]","[34, 17, 3]"
38,27,26,7,6.5,19,2,"[9, 28, 32, 40, 42, 44, 48]","[19, 4, 8, 2, 2, 4]"
39,26,31,3,12.5,19,6,"[20, 39, 45]","[19, 6]"
40,28,29,3,21.0,39,3,"[5, 44, 47]","[39, 3]"
41,21,30,9,6.75,13,1,"[0, 7, 17, 30, 39, 43, 44, 46, 54]","[7, 10, 13, 9, 4, 1, 2, 8]"
42,26,31,3,6.0,7,5,"[36, 41, 48]","[5, 7]"
43,28,26,6,10.2,20,2,"[2, 22, 24, 38, 48, 53]","[20, 2, 14, 10, 5]"
44,24,31,5,11.75,20,5,"[3, 8, 17, 30, 50]","[5, 9, 13, 20]"
45,29,25,6,9.4,20,2,"[10, 25, 32, 35, 55, 57]","[15, 7, 3, 20, 2]"
46,27,29,4,10.0,22,3,"[10, 13, 18, 40]","[3, 5, 22]"
47,28,25,7,7.0,16,1,"[1, 17, 18, 21, 24, 28, 43]","[16, 1, 3, 3, 4, 15]"
48,28,25,7,9.166666666666666,27,2,"[3, 17, 22, 24, 27, 54, 58]","[14, 5, 2, 3, 27, 4]"
49,21,29,10,6.555555555555555,17,1,"[0, 3, 16, 22, 24, 41, 44, 45, 52, 59]","[3, 13, 6, 2, 17, 3, 1, 7, 7]"
50,32,23,5,9.25,16,5,"[3, 13, 18, 34, 40]","[10, 5, 16, 6]"
51,21,29,10,5.555555555555555,14,1,"[6, 9, 21, 31, 32, 46, 51, 54, 55, 56]","[3, 12, 10, 1, 14, 5, 3, 1, 1]"
52,26,28,6,5.8,8,3,"[13, 21, 24, 30, 36, 42]","[8, 3, 6, 6, 6]"
53,29,23,8,6.428571428571429,16,1,"[4, 12, 14, 22, 30, 31, 33, 49]","[8, 2, 8, 8, 1, 2, 16]"
54,27,29,4,17.666666666666668,34,7,"[3, 37, 49, 56]","[34, 12, 7]"
55,25,26,9,6.25,20,1,"[0, 1, 7, 10, 30, 39, 43, 49, 50]","[1, 6, 3, 20, 9, 4, 6, 1]"
56,26,27,7,8.0,18,1,"[4, 5, 23, 29, 38, 48, 52]","[1, 18, 6, 9, 10, 4]"
57,23,30,7,6.833333333333333,26,1,"[7, 11, 17, 20, 46, 47, 48]","[4, 6, 3, 26, 1, 1]"
58,31,22,7,8.333333333333334,12,4,"[6, 15, 27, 36, 45, 49, 56]","[9, 12, 9, 9, 4, 7]"
59,28,23,9,4.625,10,1,"[15, 18, 28, 30, 39, 40, 44, 51, 52]","[3, 10, 2, 9, 1, 4, 7, 1]"
60,32,21,7,8.333333333333334,21,2,"[8, 13, 18, 25, 35, 56, 58]","[5, 5, 7, 10, 21, 2]"
61,26,27,7,8.0,15,1,"[7, 17, 29, 31, 39, 40, 55]","[10, 12, 2, 8, 1, 15]"
62,24,30,6,11.6,21,4,"[1, 14, 35, 43, 47, 59]","[13, 21, 8, 4, 12]"
63,22,35,3,15.5,18,13,"[10, 28, 41]","[18, 13]"
64,23,34,3,19.5,23,16,"[10, 33, 49]","[23, 16]"
65,27,28,5,9.0,16,3,"[3, 19, 25, 36, 39]","[16, 6, 11, 3]"
66,25,30,5,10.25,15,5,"[18, 32, 39, 54, 59]","[14, 7, 15, 5]"
67,30,26,4,12.0,21,2,"[17, 19, 32, 53]","[2, 13, 21]"
68,27,28,5,11.25,31,2,"[11, 42, 51, 54, 56]","[31, 9, 3, 2]"
69,22,27,11,4.9,20,1,"[7, 10, 13, 33, 37, 39, 47, 48, 51, 55, 56]","[3, 3, 20, 4, 2, 8, 1, 3, 4, 1]"
70,25,25,10,5.888888888888889,18,2,"[1, 3, 6, 8, 19, 23, 41, 44, 48, 54]","[2, 3, 2, 11, 4, 18, 3, 4, 6]"
71,28,25,7,4.833333333333333,11,1,"[11, 15, 18, 19, 25, 36, 40]","[4, 3, 1, 6, 11, 4]"
72,32,23,5,10.75,23,2,"[1, 13, 15, 21, 44]","[12, 2, 6, 23]"
73,29,24,7,8.0,15,3,"[11, 14, 23, 38, 41, 53, 59]","[3, 9, 15, 3, 12, 6]"
74,27,26,7,7.5,17,1,"[12, 13, 30, 39, 43, 45, 57]","[1, 17, 9, 4, 2, 12]"
75,24,33,3,24.5,47,2,"[3, 50, 52]","[47, 2]"
76,28,24,8,6.857142857142857,12,2,"[3, 5, 8, 20, 31, 38, 49, 51]","[2, 3, 12, 11, 7, 11, 2]"
77,23,35,2,17.0,17,17,"[11, 28]",[17]
78,32,24,4,13.0,26,1,"[5, 17, 43, 44]","[12, 26, 1]"
79,19,36,5,14.0,23,4,"[2, 25, 38, 54, 58]","[23, 13, 16, 4]"
80,32,24,4,9.666666666666666,19,3,"[13, 32, 39, 42]","[19, 7, 3]"
81,19,36,5,8.25,23,1,"[9, 32, 33, 36, 42]","[23, 1, 3, 6]"
82,31,24,5,9.25,19,1,"[14, 22, 31, 50, 51]","[8, 9, 19, 1]"
83,26,31,3,11.5,15,8,"[36, 44, 59]","[8, 15]"
84,23,31,6,10.2,19,1,"[3, 4, 23, 33, 44, 54]","[1, 19, 10, 11, 10]"
85,27,28,5,6.0,7,4,"[6, 12, 19, 23, 30]","[6, 7, 4, 7]"
86,31,22,7,9.166666666666666,23,1,"[0, 1, 24, 27, 44, 52, 55]","[1, 23, 3, 17, 8, 3]"
87,25,27,8,8.142857142857142,26,1,"[2, 28, 35, 36, 40, 51, 56, 59]","[26, 7, 1, 4, 11, 5, 3]"
88,28,28,4,5.666666666666667,8,4,"[2, 6, 14, 19]","[4, 8, 5]"
89,29,29,2,5.0,5,5,"[25, 30]",[5]
90,26,28,6,10.8,28,1,"[2, 6, 8, 27, 28, 56]","[4, 2, 19, 1, 28]"
91,26,22,12,3.4545454545454546,8,1,"[1, 2, 8, 9, 12, 20, 21, 25, 32, 33, 37, 39]","[1, 6, 1, 3, 8, 1, 4, 7, 1, 4, 2]"
92,28,28,4,14.0,24,7,"[6, 13, 37, 48]","[7, 24, 11]"
93,29,27,4,8.666666666666666,17,1,"[31, 48, 56, 57]","[17, 8, 1]"
94,27,28,5,14.5,23,7,"[0, 19, 28, 51, 58]","[19, 9, 23, 7]"
