gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap.1,gap.2,gap.3,gap.4,gap.5,gap.6,gap.7
9.0,20.0,22.0,4.0,5.0,11.0,2.0,5.0,8.0,1.0,47.0,5.0,2.0,7,2.0,9.0,9.0,20.0,22.0,4.0,5.0,11.0,2.0,5.0
4.0,2.0,4.0,9.0,1.0,8.0,17.0,43.0,7.0,8.0,4.0,30.0,1.0,15,2.0,2.0,4.0,2.0,4.0,9.0,1.0,8.0,17.0,43.0
10.0,5.0,17.0,3.0,8.0,4.0,8.0,10.0,16.0,1.0,38.0,4.0,16.0,6,8.0,7.0,10.0,5.0,17.0,3.0,8.0,4.0,8.0,10.0
4.0,8.0,13.0,5.0,5.0,8.0,2.0,5.0,13.0,15.0,21.0,5.0,7.0,5,9.0,20.0,4.0,8.0,13.0,5.0,5.0,8.0,2.0,5.0
4.0,3.0,42.0,2.0,11.0,16.0,2.0,7.0,11.0,9.0,2.0,11.0,12.0,3,18.0,21.0,4.0,3.0,42.0,2.0,11.0,16.0,2.0,7.0
1.0,3.0,3.0,8.0,5.0,3.0,11.0,1.0,4.0,1.0,1.0,6.0,10.0,11,5.0,14.0,1.0,3.0,3.0,8.0,5.0,3.0,11.0,1.0
2.0,5.0,7.0,1.0,10.0,3.0,21.0,8.0,5.0,4.0,6.0,4.0,1.0,2,31.0,5.0,2.0,5.0,7.0,1.0,10.0,3.0,21.0,8.0
5.0,5.0,2.0,15.0,2.0,2.0,20.0,23.0,42.0,1.0,6.0,15.0,1.0,6,3.0,1.0,5.0,5.0,2.0,15.0,2.0,2.0,20.0,23.0
10.0,6.0,7.0,3.0,5.0,1.0,7.0,7.0,3.0,8.0,3.0,11.0,4.0,1,5.0,4.0,10.0,6.0,7.0,3.0,5.0,1.0,7.0,7.0
4.0,2.0,8.0,2.0,4.0,8.0,5.0,34.0,6.0,7.0,7.0,5.0,15.0,5,5.0,10.0,4.0,2.0,8.0,2.0,4.0,8.0,5.0,34.0
1.0,1.0,8.0,30.0,2.0,34.0,19.0,1.0,2.0,5.0,34.0,3.0,7.0,5,2.0,11.0,1.0,1.0,8.0,30.0,2.0,34.0,19.0,1.0
26.0,23.0,2.0,27.0,8.0,18.0,5.0,25.0,2.0,18.0,2.0,16.0,1.0,11,15.0,5.0,26.0,23.0,2.0,27.0,8.0,18.0,5.0,25.0
13.0,7.0,7.0,12.0,10.0,4.0,5.0,1.0,1.0,8.0,2.0,7.0,8.0,7,3.0,17.0,13.0,7.0,7.0,12.0,10.0,4.0,5.0,1.0
10.0,14.0,20.0,4.0,1.0,7.0,11.0,2.0,9.0,9.0,38.0,9.0,15.0,1,7.0,1.0,10.0,14.0,20.0,4.0,1.0,7.0,11.0,2.0
