gap
7
13
9
1
9
10
3
9
14
6
4
10
3
5
19
6
7
17
14
9
8
3
6
25
8
2
17
21
7
1
2
2
6
20
2
5
8
3
3
5
5
6
2
1
23
7
14
4
5
13
2
6
3
4
3
26
10
7
6
7
5
4
1
5
1
4
2
3
9
1
3
4
13
7
4
4
17
36
4
