gap
13
12
1
3
3
11
13
5
8
4
6
7
4
16
5
1
7
3
23
4
28
6
2
1
13
2
6
10
15
12
9
3
1
5
43
10
5
7
1
8
23
7
34
1
25
1
2
24
3
31
1
10
6
11
19
2
13
7
8
46
