#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,35,22,3,2.0,3,1,"[22, 25, 26]","[3, 1]"
2,26,28,6,10.6,21,2,"[3, 15, 30, 33, 35, 56]","[12, 15, 3, 2, 21]"
3,22,28,10,5.666666666666667,14,1,"[3, 8, 16, 19, 21, 22, 26, 38, 52, 54]","[5, 8, 3, 2, 1, 4, 12, 14, 2]"
4,26,27,7,8.666666666666666,28,1,"[6, 7, 35, 39, 45, 47, 58]","[1, 28, 4, 6, 2, 11]"
5,29,25,6,9.2,19,2,"[6, 21, 40, 43, 50, 52]","[15, 19, 3, 7, 2]"
6,29,30,1,0,0,0,[47],[]
7,27,28,5,8.25,14,4,"[19, 23, 37, 46, 52]","[4, 14, 9, 6]"
8,33,21,6,7.4,24,1,"[19, 43, 46, 47, 48, 56]","[24, 3, 1, 1, 8]"
9,28,22,10,6.111111111111111,28,2,"[1, 3, 31, 33, 37, 40, 49, 51, 53, 56]","[2, 28, 2, 4, 3, 9, 2, 2, 3]"
10,20,35,5,14.5,41,3,"[0, 41, 44, 54, 58]","[41, 3, 10, 4]"
11,27,25,8,6.285714285714286,16,1,"[3, 4, 15, 21, 37, 40, 42, 47]","[1, 11, 6, 16, 3, 2, 5]"
12,29,27,4,14.666666666666666,34,4,"[2, 8, 42, 46]","[6, 34, 4]"
13,30,21,9,4.75,15,1,"[18, 21, 23, 31, 33, 48, 54, 55, 56]","[3, 2, 8, 2, 15, 6, 1, 1]"
14,24,28,8,3.5714285714285716,8,1,"[33, 35, 43, 47, 50, 51, 52, 58]","[2, 8, 4, 3, 1, 1, 6]"
15,27,30,3,12.0,21,3,"[13, 34, 37]","[21, 3]"
16,26,28,6,10.6,30,3,"[5, 9, 15, 45, 55, 58]","[4, 6, 30, 10, 3]"
17,26,29,5,11.5,24,6,"[11, 18, 24, 48, 57]","[7, 6, 24, 9]"
18,19,36,5,13.75,22,1,"[2, 24, 39, 56, 57]","[22, 15, 17, 1]"
19,24,27,9,6.25,16,1,"[2, 3, 10, 16, 24, 34, 50, 51, 52]","[1, 7, 6, 8, 10, 16, 1, 1]"
20,28,22,10,6.0,17,1,"[0, 1, 2, 15, 22, 27, 31, 34, 37, 54]","[1, 1, 13, 7, 5, 4, 3, 3, 17]"
21,30,27,3,14.5,23,6,"[11, 17, 40]","[6, 23]"
22,24,30,6,10.2,22,1,"[3, 20, 21, 24, 46, 54]","[17, 1, 3, 22, 8]"
23,38,18,4,14.333333333333334,20,11,"[11, 22, 42, 54]","[11, 20, 12]"
24,32,22,6,7.2,18,3,"[16, 19, 23, 41, 48, 52]","[3, 4, 18, 7, 4]"
25,30,25,5,12.25,20,5,"[4, 16, 28, 48, 53]","[12, 12, 20, 5]"
26,31,24,5,11.25,18,2,"[9, 11, 29, 44, 54]","[2, 18, 15, 10]"
27,23,32,5,12.75,26,1,"[1, 12, 13, 26, 52]","[11, 1, 13, 26]"
28,27,23,10,5.444444444444445,15,1,"[9, 24, 29, 30, 33, 38, 42, 45, 49, 58]","[15, 5, 1, 3, 5, 4, 3, 4, 9]"
29,25,28,7,8.166666666666666,13,2,"[0, 11, 14, 16, 28, 36, 49]","[11, 3, 2, 12, 8, 13]"
30,31,20,9,5.5,11,1,"[4, 12, 23, 25, 30, 36, 39, 47, 48]","[8, 11, 2, 5, 6, 3, 8, 1]"
31,25,26,9,7.0,26,1,"[1, 27, 32, 33, 35, 38, 49, 54, 57]","[26, 5, 1, 2, 3, 11, 5, 3]"
32,27,28,5,11.75,26,1,"[1, 2, 28, 29, 48]","[1, 26, 1, 19]"
33,35,18,7,8.166666666666666,14,5,"[6, 16, 30, 35, 44, 49, 55]","[10, 14, 5, 9, 5, 6]"
34,22,34,4,13.333333333333334,26,3,"[19, 22, 48, 59]","[3, 26, 11]"
35,22,28,10,6.444444444444445,11,3,"[0, 4, 9, 16, 24, 35, 38, 42, 48, 58]","[4, 5, 7, 8, 11, 3, 4, 6, 10]"
36,32,21,7,7.333333333333333,12,1,"[11, 12, 20, 31, 38, 50, 55]","[1, 8, 11, 7, 12, 5]"
37,37,20,3,18.0,27,9,"[1, 28, 37]","[27, 9]"
38,25,28,7,6.833333333333333,11,3,"[18, 21, 30, 37, 48, 51, 59]","[3, 9, 7, 11, 3, 8]"
39,30,23,7,5.833333333333333,12,1,"[14, 18, 19, 31, 33, 43, 49]","[4, 1, 12, 2, 10, 6]"
40,28,23,9,6.75,16,1,"[0, 16, 18, 23, 30, 38, 39, 42, 54]","[16, 2, 5, 7, 8, 1, 3, 12]"
41,20,36,4,10.666666666666666,24,1,"[3, 10, 11, 35]","[7, 1, 24]"
42,35,22,3,23.5,32,15,"[7, 39, 54]","[32, 15]"
43,30,23,7,7.333333333333333,14,3,"[9, 19, 25, 28, 35, 49, 53]","[10, 6, 3, 7, 14, 4]"
44,29,23,8,7.428571428571429,22,1,"[4, 8, 30, 32, 37, 49, 50, 56]","[4, 22, 2, 5, 12, 1, 6]"
45,26,29,5,12.5,16,5,"[4, 20, 25, 41, 54]","[16, 5, 16, 13]"
46,25,27,8,6.571428571428571,14,3,"[12, 16, 20, 24, 32, 35, 49, 58]","[4, 4, 4, 8, 3, 14, 9]"
47,21,28,11,5.3,13,1,"[6, 9, 10, 16, 21, 34, 38, 49, 50, 51, 59]","[3, 1, 6, 5, 13, 4, 11, 1, 1, 8]"
48,28,25,7,9.0,34,2,"[5, 11, 15, 18, 23, 57, 59]","[6, 4, 3, 5, 34, 2]"
49,28,27,5,9.75,14,2,"[17, 28, 42, 54, 56]","[11, 14, 12, 2]"
50,28,26,6,11.2,19,2,"[3, 22, 32, 42, 44, 59]","[19, 10, 10, 2, 15]"
51,18,28,14,3.769230769230769,13,1,"[9, 14, 18, 20, 22, 24, 26, 30, 31, 35, 36, 49, 50, 58]","[5, 4, 2, 2, 2, 2, 4, 1, 4, 1, 13, 1, 8]"
52,26,30,4,9.0,20,2,"[24, 44, 49, 51]","[20, 5, 2]"
53,31,25,4,13.333333333333334,25,1,"[6, 31, 32, 46]","[25, 1, 14]"
54,22,33,5,12.5,21,3,"[4, 25, 35, 51, 54]","[21, 10, 16, 3]"
55,28,25,7,7.166666666666667,17,1,"[16, 20, 29, 46, 47, 49, 59]","[4, 9, 17, 1, 2, 10]"
