gap
5
6
8
20
11
11
4
9
3
1
14
16
6
1
2
5
2
13
7
1
12
1
7
18
2
4
5
1
4
2
36
4
3
7
15
6
5
3
11
2
6
1
5
5
11
7
1
10
8
6
3
7
3
2
12
8
2
12
2
22
1
10
9
13
5
21
3
1
10
4
15
1
1
1
8
1
19
2
5
10
4
10
7
6
10
7
