gap
4
3
30
6
3
14
1
2
15
17
2
1
13
7
4
2
4
22
9
7
13
4
4
10
9
9
3
15
11
29
1
1
5
1
8
1
15
9
1
4
1
8
7
5
18
8
9
5
4
35
3
4
1
35
1
17
8
17
7
1
3
21
4
8
19
18
7
2
4
11
