2021001	2021/01/02	3	9	14	21	45	46	34
2021002	2021/01/05	22	24	30	36	38	46	33
2021003	2021/01/08	5	19	29	32	33	34	43
2021004	2021/01/12	5	19	22	26	35	40	2
2021005	2021/01/15	4	24	39	41	42	45	6
2021006	2021/01/19	14	21	22	38	40	45	17
2021007	2021/01/22	15	16	18	21	24	31	22
2021008	2021/01/26	5	9	16	21	44	49	15
2021009	2021/01/29	2	10	30	31	35	46	3
2021010	2021/02/02	18	21	24	26	30	35	48
2021011	2021/02/05	10	16	22	40	44	45	49
2021012	2021/02/09	1	2	16	20	31	38	7
2021013	2021/02/12	6	25	31	36	41	47	10
2021014	2021/02/16	3	13	28	30	31	45	22
2021015	2021/02/19	4	5	13	14	25	44	16
2021016	2021/02/23	2	14	18	28	34	44	21
2021017	2021/02/26	14	17	35	37	39	46	2
2021018 2021/03/02	6	15	16	21	27	28	43
2021019	2021/03/05	1	23	32	38	43	46	5
2021020	2021/03/12	16	17	21	24	43	47	30
2021021	2021/03/19	3	8	9	14	23	25	35
2021022	2021/03/23	11	14	16	19	38	41	6
2021023	2021/03/26	6	12	24	26	30	43	20
2021024	2021/03/30	24	26	36	37	41	43	31
2021025	2021/04/02	1	2	33	34	42	49	39
2021026	2021/04/06	4	7	8	20	22	41	21
2021027	2021/04/09	7	9	12	13	14	16	23
2021028	2021/04/13	7	10	13	14	20	35	49
2021029	2021/04/16	5	6	17	23	29	38	24
2021030	2021/04/20	12	32	40	42	48	49	27
2021031	2021/04/23	15	18	20	23	31	47	12
2021032	2021/04/27	2	13	15	19	38	41	30
2021033	2021/04/30	7	9	29	33	36	49	41
2021034	2021/05/04	8	9	10	19	38	45	6
2021035	2021/05/07	5	8	22	26	40	41	46
2021036	2021/05/11	15	22	30	31	35	45	6
2021037	2021/05/14	5	14	28	29	31	37	11
2021038	2021/05/18	2	9	26	34	35	36	4
2021039	2021/05/21	8	14	31	37	44	47	38
2021040	2021/05/25	1	7	19	22	27	49	20
2021041	2021/05/28	5	12	30	43	44	45	21
2021042	2021/06/01	1	6	16	28	33	36	8
2021043	2021/06/04	2	6	16	22	34	49	45
2021044	2021/06/08	7	13	21	24	28	30	10
2021045 2021/06/11	2	3	15	29	41	43	7
2021046	2021/06/15	3	11	13	22	44	45	4
2021047	2021/06/17	1	25	31	34	42	48	20
2021048	2021/06/19	4	15	17	32	38	43	30
2021049	2021/06/22	1	5	7	24	26	30	8
2021050	2021/06/24	4	11	14	21	38	48	31
2021051	2021/06/27	2	7	11	27	37	42	28
2021052	2021/06/29	10	16	24	39	44	47	28
2021053	2021/07/03	7	9	24	29	37	48	17
2021054	2021/07/06	2	6	15	16	26	34	14
2021055	2021/07/08	7	9	13	27	39	43	42
2021056	2021/07/10	25	28	34	37	40	49	33
2021057	2021/07/13	9	13	21	35	38	48	20
2021058	2021/07/15	6	19	22	23	28	49	20
2021059	2021/07/17	1	6	16	30	32	47	12
2021060	2021/07/20	2	7	15	19	31	49	46
2021061	2021/07/22	2	3	4	5	8	23	27
2021062	2021/07/24	11	12	25	27	28	34	46
2021063	2021/07/27	8	11	19	22	29	44	14
2021064	2021/08/01	1	4	9	21	36	42	3
2021065	2021/08/03	10	13	15	29	31	39	47
2021066	2021/08/05	10	17	19	25	36	39	31
2021067	2021/08/07	13	14	26	34	35	44	12
2021068	2021/08/10	4	12	14	17	22	32	41
2021069	2021/08/12	20	21	30	34	36	37	29
2021070	2021/08/14	11	12	19	38	39	41	6
2021071	2021/08/19	4	26	28	31	32	33	8
2021072	2021/08/21	2	5	18	21	42	48	46
2021073	2021/08/26	5	10	17	30	43	44	40
2021074	2021/08/28	2	14	15	16	33	45	19
2021075	2021/08/31	1	12	23	29	45	46	48
2021076	2021/09/02	10	28	39	45	48	49	15
2021077	2021/09/04	5	8	29	31	32	36	12
2021078	2021/09/07	2	7	21	23	27	36	40
2021079	2021/09/09	7	22	24	31	33	37	39
2021080	2021/09/11	12	26	31	37	38	44	16
2021081	2021/09/14	7	8	32	33	39	49	23
2021082	2021/09/16	1	6	11	20	32	35	22
2021083	2021/09/21	14	15	25	26	32	45	2
2021084	2021/09/23	2	4	10	17	38	41	47
2021085	2021/09/25	15	18	32	43	45	47	12
2021086	2021/09/28	2	23	31	38	43	45	40
2021087	2021/09/30	2	3	11	20	24	47	48
2021088	2021/10/02	6	12	19	31	47	48	41
2021089	2021/10/05	19	20	26	29	32	48	38
2021090	2021/10/07	8	11	19	21	24	47	23
2021091	2021/10/14	2	6	9	27	43	45	35
2021092	2021/10/16	3	14	16	23	38	46	2
2021093	2021/10/19	7	13	15	19	24	37	2
2021094	2021/10/21	6	9	11	13	15	47	38
2021095	2021/10/26	9	14	23	28	34	48	36
2021096	2021/10/28	1	5	17	26	34	48	42
2021097	2021/10/30	3	14	37	41	42	45	4
2021098	2021/11/02	4	5	24	33	44	49	41
2021099	2021/11/04	3	22	30	32	40	43	5
2021100	2021/11/06	13	15	40	41	42	49	21
2021101	2021/11/09	3	11	15	25	30	45	33
2021102	2021/11/11	10	13	31	37	40	46	15
2021103	2021/11/14	1	11	15	21	24	28	8
2021104	2021/11/16	9	13	25	27	33	36	35
2021105	2021/11/18	2	16	23	25	29	38	18
2021106	2021/11/20	18	19	24	38	39	42	41
2021107	2021/11/23	2	6	11	22	34	38	7
2021108	2021/11/25	10	28	36	39	47	48	44
2021109	2021/11/27	2	14	30	41	42	44	22
2021110	2021/11/30	1	17	22	26	38	44	8
2021111	2021/12/02	3	21	26	36	38	49	9
2021112	2021/12/04	1	21	24	29	44	46	19
2021113	2021/12/07	4	13	19	21	35	43	27
2021114	2021/12/09	4	7	9	13	15	43	1
2021115	2021/12/11	7	21	34	35	42	48	41
2021116	2021/12/14	7	24	29	36	41	43	35
2021117	2021/12/16	5	6	19	43	47	49	39
2021118	2021/12/19	12	20	21	26	33	42	9
2021119	2021/12/21	11	12	16	32	43	44	41
2021120	2021/12/23	3	9	11	17	22	44	23
2021121	2021/12/25	8	11	20	30	35	40	27
2021122	2021/12/28	21	25	30	33	36	49	3
2021123	2021/12/30	20	21	22	29	34	35	7
