index
7
10
16
22
31
0
13
15
20
35
8
9
26
3
6
10
21
40
50
56
48
51
55
2
5
18
32
46
52
58
21
29
33
52
6
7
31
40
42
49
5
17
44
47
55
56
1
33
49
56
57
6
23
29
40
46
8
15
21
22
51
1
2
11
15
25
31
34
39
55
1
21
38
39
52
57
51
53
1
50
24
43
44
51
9
12
19
45
55
14
25
44
45
52
0
2
19
36
46
49
52
57
3
8
17
33
41
45
49
52
59
0
11
19
31
36
53
42
44
55
11
16
45
14
20
38
45
54
56
18
0
18
20
30
51
52
4
7
9
12
22
28
39
2
11
18
40
51
10
19
25
34
8
13
18
19
29
37
38
12
18
22
35
6
9
50
11
25
40
49
50
2
8
20
32
50
56
6
0
3
9
38
41
4
6
8
11
15
28
39
49
4
8
53
9
24
43
58
23
28
44
5
6
16
33
45
8
14
16
20
29
49
19
21
32
33
43
15
31
33
38
43
49
56
57
0
15
17
24
42
46
53
59
9
15
16
1
20
55
57
59
3
10
20
59
3
4
20
29
45
8
9
16
31
59
10
34
39
47
49
1
4
18
24
45
1
34
0
2
8
23
27
30
45
46
48
51
57
17
22
24
4
7
31
33
37
41
43
50
57
15
17
23
29
31
46
4
35
38
53
9
31
0
10
15
23
10
13
17
23
44
47
58
6
16
26
32
35
41
56
59
6
15
17
48
57
8
22
30
31
35
38
47
54
5
20
32
42
55
0
23
26
27
53
21
29
43
47
13
18
27
28
35
49
54
3
26
28
29
59
17
23
26
27
33
34
55
59
6
11
25
47
53
55
59
13
24
33
36
44
46
55
23
48
49
25
26
43
59
5
7
12
13
42
46
48
49
54
9
20
24
29
52
54
37
40
45
49
50
6
38
46
58
4
27
29
31
47
1
6
12
26
27
31
36
39
49
14
24
41
43
14
32
57
58
0
1
7
19
21
27
33
43
58
14
16
30
34
55
13
20
24
48
57
19
36
52
7
9
11
30
32
36
51
59
14
24
34
45
11
28
29
35
43
45
49
57
1
9
13
22
6
24
33
42
55
0
3
25
27
47
7
12
20
36
37
50
55
3
4
11
12
23
27
37
53
7
24
30
51
5
22
24
31
33
51
52
57
3
6
8
20
25
42
59
