#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,31,16,13,3.8333333333333335,12,1,"[0, 1, 4, 6, 8, 11, 16, 17, 23, 35, 44, 45, 46]","[1, 3, 2, 2, 3, 5, 1, 6, 12, 9, 1, 1]"
2,31,23,6,7.0,17,2,"[4, 8, 10, 20, 37, 39]","[4, 2, 10, 17, 2]"
3,21,33,6,9.0,20,1,"[4, 6, 7, 18, 29, 49]","[2, 1, 11, 11, 20]"
4,31,25,4,7.333333333333333,11,5,"[15, 20, 26, 37]","[5, 6, 11]"
5,31,27,2,3.0,3,3,"[23, 26]",[3]
6,30,20,10,5.888888888888889,11,1,"[5, 12, 15, 16, 27, 37, 38, 44, 52, 58]","[7, 3, 1, 11, 10, 1, 6, 8, 6]"
7,31,21,8,6.857142857142857,12,2,"[8, 13, 22, 24, 35, 42, 44, 56]","[5, 9, 2, 11, 7, 2, 12]"
8,27,27,6,10.6,18,2,"[5, 23, 27, 42, 44, 58]","[18, 4, 15, 2, 14]"
9,25,29,6,6.8,11,1,"[13, 19, 28, 35, 46, 47]","[6, 9, 7, 11, 1]"
10,22,37,1,0,0,0,[37],[]
11,30,27,3,6.0,8,4,"[43, 47, 55]","[4, 8]"
12,24,30,6,5.6,13,2,"[17, 20, 26, 39, 43, 45]","[3, 6, 13, 4, 2]"
13,29,23,8,4.285714285714286,13,1,"[25, 26, 39, 40, 48, 52, 54, 55]","[1, 13, 1, 8, 4, 2, 1]"
14,27,26,7,8.666666666666666,13,3,"[1, 14, 22, 30, 39, 50, 53]","[13, 8, 8, 9, 11, 3]"
15,24,27,9,6.875,14,1,"[1, 6, 9, 19, 20, 31, 45, 55, 56]","[5, 3, 10, 1, 11, 14, 10, 1]"
16,27,25,8,7.0,15,1,"[6, 12, 13, 14, 29, 35, 47, 55]","[6, 1, 1, 15, 6, 12, 8]"
17,26,27,7,9.5,25,2,"[1, 5, 7, 18, 27, 33, 58]","[4, 2, 11, 9, 6, 25]"
18,27,27,6,9.4,28,1,"[6, 7, 15, 22, 50, 53]","[1, 8, 7, 28, 3]"
19,26,30,4,13.0,33,1,"[3, 36, 41, 42]","[33, 5, 1]"
20,25,28,7,5.666666666666667,10,1,"[1, 3, 4, 9, 15, 25, 35]","[2, 1, 5, 6, 10, 10]"
21,32,24,4,9.0,24,1,"[0, 1, 3, 27]","[1, 2, 24]"
22,27,29,4,12.666666666666666,28,2,"[18, 26, 28, 56]","[8, 2, 28]"
23,22,33,5,9.75,26,1,"[7, 8, 16, 42, 46]","[1, 8, 26, 4]"
24,25,26,9,5.125,15,1,"[11, 13, 18, 20, 23, 38, 47, 51, 52]","[2, 5, 2, 3, 15, 9, 4, 1]"
25,28,26,6,6.2,13,1,"[4, 6, 17, 18, 22, 35]","[2, 11, 1, 4, 13]"
26,31,19,10,4.555555555555555,15,1,"[3, 7, 12, 15, 16, 31, 36, 37, 41, 44]","[4, 5, 3, 1, 15, 5, 1, 4, 3]"
27,21,27,12,5.181818181818182,12,1,"[2, 4, 14, 15, 19, 28, 31, 39, 42, 46, 58, 59]","[2, 10, 1, 4, 9, 3, 8, 3, 4, 12, 1]"
28,32,21,7,8.833333333333334,15,1,"[6, 21, 33, 38, 39, 49, 59]","[15, 12, 5, 1, 10, 10]"
29,24,28,8,8.142857142857142,14,2,"[0, 8, 20, 30, 36, 41, 43, 57]","[8, 12, 10, 6, 5, 2, 14]"
30,33,24,3,12.0,12,12,"[6, 18, 30]","[12, 12]"
31,29,24,7,9.333333333333334,18,3,"[3, 18, 24, 32, 50, 53, 59]","[15, 6, 8, 18, 3, 6]"
32,26,23,11,5.3,17,1,"[3, 8, 10, 12, 29, 36, 37, 39, 41, 51, 56]","[5, 2, 2, 17, 7, 1, 2, 2, 10, 5]"
33,30,25,5,10.25,29,1,"[7, 36, 37, 42, 48]","[29, 1, 5, 6]"
34,32,18,10,6.111111111111111,16,1,"[3, 7, 23, 25, 37, 39, 50, 55, 57, 58]","[4, 16, 2, 12, 2, 11, 5, 2, 1]"
35,28,26,6,11.2,21,2,"[0, 4, 25, 39, 54, 56]","[4, 21, 14, 15, 2]"
36,31,27,2,9.0,9,9,"[29, 38]",[9]
37,29,26,5,4.75,6,4,"[10, 16, 21, 25, 29]","[6, 5, 4, 4]"
38,25,31,4,18.0,37,1,"[2, 3, 40, 56]","[1, 37, 16]"
39,25,24,11,5.9,19,1,"[0, 2, 11, 15, 19, 21, 22, 26, 45, 55, 59]","[2, 9, 4, 4, 2, 1, 4, 19, 10, 4]"
40,24,29,7,7.0,13,4,"[7, 14, 20, 26, 39, 45, 49]","[7, 6, 6, 13, 6, 4]"
41,29,23,8,6.428571428571429,8,2,"[2, 9, 16, 23, 31, 39, 45, 47]","[7, 7, 7, 8, 8, 6, 2]"
42,21,34,5,12.0,26,5,"[10, 15, 41, 51, 58]","[5, 26, 10, 7]"
43,27,28,5,12.75,24,4,"[8, 32, 45, 55, 59]","[24, 13, 10, 4]"
44,26,27,7,6.666666666666667,23,1,"[16, 39, 40, 48, 51, 55, 56]","[23, 1, 8, 3, 4, 1]"
45,32,24,4,17.0,18,15,"[0, 15, 33, 51]","[15, 18, 18]"
46,19,37,4,14.333333333333334,33,4,"[6, 39, 43, 49]","[33, 4, 6]"
47,22,33,5,9.25,22,2,"[17, 23, 45, 52, 54]","[6, 22, 7, 2]"
48,30,26,4,16.666666666666668,26,9,"[9, 24, 50, 59]","[15, 26, 9]"
49,30,18,12,4.2727272727272725,9,1,"[5, 14, 21, 23, 26, 27, 31, 38, 44, 45, 46, 52]","[9, 7, 2, 3, 1, 4, 7, 6, 1, 1, 6]"
50,25,27,8,8.142857142857142,16,1,"[1, 10, 25, 29, 32, 33, 49, 58]","[9, 15, 4, 3, 1, 16, 9]"
51,26,29,5,8.5,16,2,"[19, 35, 37, 50, 53]","[16, 2, 13, 3]"
52,34,23,3,15.5,29,2,"[6, 35, 37]","[29, 2]"
53,28,24,8,8.0,15,1,"[3, 4, 19, 25, 34, 41, 55, 59]","[1, 15, 6, 9, 7, 14, 4]"
54,28,27,5,12.5,21,4,"[6, 19, 40, 52, 56]","[13, 21, 12, 4]"
55,31,20,9,6.25,9,3,"[5, 10, 19, 22, 29, 38, 45, 48, 55]","[5, 9, 3, 7, 9, 7, 3, 7]"
56,28,24,8,6.714285714285714,18,1,"[9, 11, 19, 23, 25, 43, 44, 56]","[2, 8, 4, 2, 18, 1, 12]"
57,30,25,5,5.0,7,1,"[27, 34, 41, 42, 47]","[7, 7, 1, 5]"
58,26,31,3,14.0,16,12,"[0, 16, 28]","[16, 12]"
59,22,33,5,7.5,19,3,"[9, 14, 17, 20, 39]","[5, 3, 3, 19]"
60,27,26,7,6.5,18,1,"[7, 20, 22, 40, 41, 42, 46]","[13, 2, 18, 1, 1, 4]"
61,29,24,7,6.833333333333333,11,3,"[5, 16, 20, 24, 35, 38, 46]","[11, 4, 4, 11, 3, 8]"
62,27,30,3,11.5,21,2,"[29, 50, 52]","[21, 2]"
63,34,21,5,12.0,14,6,"[11, 17, 31, 45, 59]","[6, 14, 14, 14]"
64,31,25,4,5.333333333333333,9,2,"[17, 19, 24, 33]","[2, 5, 9]"
65,32,23,5,13.25,41,1,"[1, 9, 50, 53, 54]","[8, 41, 3, 1]"
66,28,29,3,25.0,41,9,"[8, 17, 58]","[9, 41]"
67,34,21,5,9.25,21,3,"[22, 25, 46, 52, 59]","[3, 21, 6, 7]"
68,30,28,2,3.0,3,3,"[32, 35]",[3]
69,31,25,4,7.0,15,1,"[3, 8, 23, 24]","[5, 15, 1]"
70,29,25,6,10.0,15,3,"[1, 4, 19, 27, 40, 51]","[3, 15, 8, 13, 11]"
71,29,30,1,0,0,0,[24],[]
72,24,33,3,9.0,17,1,"[24, 25, 42]","[1, 17]"
73,24,26,10,6.0,18,2,"[4, 8, 26, 29, 33, 41, 50, 53, 55, 58]","[4, 18, 3, 4, 8, 9, 3, 2, 3]"
74,21,32,7,8.666666666666666,28,2,"[4, 10, 14, 23, 51, 54, 56]","[6, 4, 9, 28, 3, 2]"
75,20,33,7,8.833333333333334,12,6,"[6, 16, 24, 30, 42, 52, 59]","[10, 8, 6, 12, 10, 7]"
76,25,32,3,26.5,50,3,"[4, 54, 57]","[50, 3]"
77,25,31,4,13.0,19,5,"[19, 24, 39, 58]","[5, 15, 19]"
78,28,25,7,8.333333333333334,26,1,"[2, 3, 29, 31, 33, 42, 52]","[1, 26, 2, 2, 9, 10]"
79,28,27,5,8.25,25,1,"[17, 20, 21, 46, 50]","[3, 1, 25, 4]"
80,37,20,3,13.5,25,2,"[12, 37, 39]","[25, 2]"
81,20,28,12,5.2727272727272725,18,1,"[0, 18, 19, 22, 29, 41, 42, 45, 47, 48, 52, 58]","[18, 1, 3, 7, 12, 1, 3, 2, 1, 4, 6]"
82,24,25,11,4.5,18,1,"[13, 17, 18, 21, 27, 30, 48, 50, 53, 56, 58]","[4, 1, 3, 6, 3, 18, 2, 3, 3, 2]"
83,32,19,9,6.75,14,1,"[3, 10, 11, 22, 26, 28, 42, 52, 57]","[7, 1, 11, 4, 2, 14, 10, 5]"
84,25,25,10,5.666666666666667,17,1,"[2, 9, 17, 19, 25, 30, 47, 50, 52, 53]","[7, 8, 2, 6, 5, 17, 3, 2, 1]"
85,28,27,5,7.0,23,1,"[4, 7, 30, 31, 32]","[3, 23, 1, 1]"
86,23,32,5,3.5,6,1,"[29, 34, 35, 37, 43]","[5, 1, 2, 6]"
87,23,28,9,5.625,14,1,"[5, 9, 23, 27, 40, 42, 44, 45, 50]","[4, 14, 4, 13, 2, 2, 1, 5]"
88,25,28,7,7.666666666666667,16,1,"[4, 20, 21, 22, 31, 47, 50]","[16, 1, 1, 9, 16, 3]"
89,20,36,4,18.666666666666668,36,5,"[3, 8, 23, 59]","[5, 15, 36]"
90,19,34,7,8.333333333333334,17,1,"[1, 2, 4, 21, 33, 40, 51]","[1, 2, 17, 12, 7, 11]"
91,26,28,6,7.4,13,2,"[3, 9, 16, 29, 38, 40]","[6, 7, 13, 9, 2]"
92,33,20,7,9.5,22,1,"[2, 23, 26, 34, 36, 37, 59]","[21, 3, 8, 2, 1, 22]"
93,29,31,0,0,0,0,[],[]
94,30,26,4,10.333333333333334,17,6,"[1, 9, 26, 32]","[8, 17, 6]"
95,22,30,8,7.571428571428571,22,1,"[2, 3, 6, 19, 26, 30, 33, 55]","[1, 3, 13, 7, 4, 3, 22]"
96,29,26,5,6.5,8,4,"[13, 20, 24, 31, 39]","[7, 4, 7, 8]"
97,28,25,7,6.833333333333333,14,1,"[6, 20, 25, 27, 28, 34, 47]","[14, 5, 2, 1, 6, 13]"
98,24,34,2,20.0,20,20,"[10, 30]",[20]
99,27,27,6,8.6,23,1,"[7, 19, 20, 43, 44, 50]","[12, 1, 23, 1, 6]"
100,26,28,6,9.6,16,1,"[8, 24, 26, 42, 55, 56]","[16, 2, 16, 13, 1]"
