gap
4
1
14
5
12
14
9
2
17
7
1
3
16
5
12
1
7
26
3
3
10
11
12
6
38
5
6
18
11
15
1
10
2
8
7
16
13
11
4
5
42
3
6
2
2
1
9
4
11
24
4
1
5
3
6
7
4
15
3
11
10
1
1
3
3
14
2
8
24
6
3
1
