gap
4
2
2
9
25
1
3
15
2
2
3
4
1
14
17
3
15
2
11
34
1
2
11
16
5
6
13
7
11
3
5
5
7
2
2
8
9
18
5
31
3
5
5
2
15
3
7
13
5
11
19
3
2
19
28
5
7
13
14
8
14
12
22
5
3
1
3
2
7
18
