gap
2
3
4
5
5
42
9
3
16
13
20
7
12
13
11
5
7
6
1
3
7
13
4
10
9
14
13
8
14
24
1
1
6
11
8
4
8
16
3
3
2
1
8
34
18
4
7
9
1
7
19
14
9
7
24
2
11
6
1
1
27
17
5
1
11
