gap
4
2
13
11
11
20
2
2
7
28
22
47
2
5
5
2
16
14
8
11
7
5
6
4
25
7
5
12
1
1
2
8
2
9
4
10
4
4
1
2
5
10
4
1
26
13
10
7
6
4
1
28
2
11
7
1
1
20
12
7
5
5
12
6
4
15
18
3
15
