gap
1
7
25
11
17
5
3
2
34
13
4
24
3
8
14
8
4
5
8
6
3
5
9
1
4
20
4
9
27
21
4
2
1
2
1
16
7
12
10
1
1
4
15
7
1
8
15
2
13
1
33
9
12
3
2
1
8
1
19
12
1
1
3
4
5
1
6
1
26
25
5
1
3
