2023001	2023/01/03	7	20	25	27	35	43	1
2023002	2023/01/05	5	9	19	34	36	49	23
2023003	2023/01/07	10	31	33	34	43	49	40
2023004	2023/01/10	2	21	24	29	35	47	18
2023005	2023/01/12	6	22	26	27	40	45	13
2023006	2023/01/14	3	5	16	26	35	38	9
2023007	2023/01/17	10	15	29	34	38	47	18
2023008	2023/01/19	17	25	27	29	36	49	23
2023009	2023/01/26	2	3	23	31	32	43	40
2023010	2023/01/28	2	12	16	38	45	46	14
2023011	2023/02/02	2	8	23	33	34	35	43
2023012	2023/02/04	14	18	25	29	31	42	6
2023013	2023/02/07	4	11	13	14	30	37	20
2023014	2023/02/09	1	9	13	27	29	40	20
2023015	2023/02/11	13	18	22	29	34	41	23
2023016	2023/02/14	3	13	19	32	33	39	24
2023017	2023/02/16	8	9	13	22	38	39	11
2023018	2023/02/18	4	12	20	28	34	49	43
2023019	2023/02/21	8	19	29	30	33	41	4
2023020	2023/02/23	8	16	32	42	47	48	35
2023021	2023/02/25	14	25	27	28	44	47	4
2023022	2023/02/28	8	13	29	33	40	42	3
2023023	2023/03/02	14	17	19	32	39	46	36
2023024	2023/03/04	1	9	15	26	42	44	25
2023025	2023/03/07	4	11	12	26	37	40	7
2023026	2023/03/09	1	4	7	14	31	37	11
2023027	2023/03/12	11	12	13	20	35	43	44
2023028	2023/03/14	1	2	10	12	18	37	43
2023029	2023/03/16	18	21	28	30	34	40	14
2023030	2023/03/18	4	7	17	34	42	48	3
2023031	2023/03/21	8	13	18	30	33	41	20
2023032 2023/03/23	5	14	17	20	22	32	33
2023033	2023/03/25	11	15	18	26	31	37	10
2023034	2023/03/28	9	10	16	41	44	46	39
2023035	2023/03/30	1	8	12	36	42	47	40
2023036	2023/04/01	8	9	12	19	21	40	24
2023037	2023/04/04	15	19	20	24	36	47	4
2023038	2023/04/08	1	13	17	18	33	36	22
2023039	2023/04/11	12	23	29	40	42	43	20
2023040	2023/04/13	9	14	15	32	36	48	25
2023041	2023/04/16	10	12	18	20	23	36	6
2023042	2023/04/18	20	23	27	28	30	46	29
2023043	2023/04/20	1	20	24	28	38	46	40
2023044	2023/04/22	2	6	7	9	17	19	26
2023045	2023/04/25	20	26	38	43	46	47	35
2023046	2023/04/27	8	12	21	43	44	49	27
2023047	2023/04/29	7	8	17	19	27	40	2
2023048	2023/05/02	4	10	20	32	38	49	7
2023049	2023/05/04	2	10	28	37	47	49	7
2023050	2023/05/06	1	5	14	15	21	25	31
2023051	2023/05/09	7	10	22	25	32	35	27
2023052	2023/05/11	17	18	28	30	32	33	1
2023053	2023/05/14	1	4	9	35	37	48	43
2023054	2023/05/16	2	18	27	31	32	46	44
2023055	2023/05/18	5	6	12	16	41	47	7
2023056	2023/05/20	1	19	22	26	46	47	39
2023057	2023/05/23	4	14	15	37	41	49	38
2023058	2023/05/25	3	14	18	26	40	43	15
2023059	2023/05/27	11	20	21	22	27	32	12
2023060	2023/05/30	3	9	15	30	32	41	26
2023061	2023/06/01	14	30	32	42	45	47	4
2023062	2023/06/03	2	16	24	25	47	48	40
2023063	2023/06/06	6	12	34	42	45	48	2
2023064	2023/06/08	4	22	24	28	45	46	7
2023065	2023/06/11	14	16	18	22	30	47	11
2023066	2023/06/13	14	16	22	26	36	42	19
2023067	2023/06/15	5	13	17	20	33	38	14
2023068	2023/06/17	18	22	31	35	44	48	6
2023069	2023/06/20	8	18	31	34	35	47	39
2023070	2023/06/22	14	15	24	30	37	39	26
2023071	2023/06/24	1	11	14	16	26	36	39
2023072	2023/06/27	7	10	16	18	29	45	1
2023073	2023/06/29	6	10	18	21	22	33	4
2023074	2023/07/02	3	6	25	29	35	42	36
2023075	2023/07/04	5	15	20	29	32	37	18
2023076	2023/07/08	1	11	22	26	38	39	27
2023077	2023/07/11	7	19	22	27	40	47	13
2023078	2023/07/13	3	8	11	23	36	38	33
2023079	2023/07/15	4	9	12	33	37	42	3
2023080 2023/07/18	15	16	34	36	39	40	42
2023081	2023/07/20	4	16	18	34	35	46	47
2023082	2023/07/25	1	2	10	13	29	47	9
