gap
2
4
23
4
13
15
7
4
15
2
2
3
1
1
6
14
6
3
26
8
6
3
15
13
1
1
3
9
18
10
6
19
7
5
1
8
5
11
5
10
2
5
4
2
8
10
1
2
15
2
16
11
9
2
23
22
4
3
3
23
1
5
24
7
2
11
17
4
10
10
3
2
9
6
2
7
8
