#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,24,29,7,7.5,24,3,"[11, 15, 22, 25, 49, 53, 56]","[4, 7, 3, 24, 4, 3]"
2,28,26,6,9.8,28,3,"[7, 19, 22, 25, 53, 56]","[12, 3, 3, 28, 3]"
3,28,20,12,5.0,14,1,"[3, 5, 7, 8, 20, 22, 26, 27, 31, 34, 44, 58]","[2, 2, 1, 12, 2, 4, 1, 4, 3, 10, 14]"
4,32,25,3,25.0,38,12,"[7, 19, 57]","[12, 38]"
5,24,26,10,6.333333333333333,10,1,"[1, 6, 7, 14, 21, 31, 39, 46, 51, 58]","[5, 1, 7, 7, 10, 8, 7, 5, 7]"
6,21,33,6,6.8,18,1,"[7, 25, 31, 32, 36, 41]","[18, 6, 1, 4, 5]"
7,27,28,5,9.0,20,2,"[16, 20, 40, 42, 52]","[4, 20, 2, 10]"
8,25,29,6,10.2,25,2,"[5, 7, 32, 34, 42, 56]","[2, 25, 2, 8, 14]"
9,30,23,7,9.166666666666666,27,1,"[2, 29, 36, 41, 43, 56, 57]","[27, 7, 5, 2, 13, 1]"
10,26,27,7,6.0,18,1,"[21, 23, 30, 32, 50, 51, 57]","[2, 7, 2, 18, 1, 6]"
11,29,28,3,24.5,42,7,"[7, 49, 56]","[42, 7]"
12,21,32,7,7.5,14,1,"[7, 8, 21, 22, 30, 44, 52]","[1, 13, 1, 8, 14, 8]"
13,30,26,4,7.666666666666667,11,2,"[24, 34, 36, 47]","[10, 2, 11]"
14,27,22,11,5.2,12,1,"[1, 7, 10, 20, 21, 22, 29, 35, 47, 49, 53]","[6, 3, 10, 1, 1, 7, 6, 12, 2, 4]"
15,23,31,6,10.6,16,5,"[0, 5, 21, 35, 44, 53]","[5, 16, 14, 9, 9]"
16,25,26,9,4.375,13,1,"[8, 9, 11, 13, 14, 16, 29, 34, 43]","[1, 2, 2, 1, 2, 13, 5, 9]"
17,20,33,7,8.833333333333334,20,4,"[4, 11, 21, 28, 33, 53, 57]","[7, 10, 7, 5, 20, 4]"
18,23,29,8,7.428571428571429,17,1,"[3, 7, 16, 17, 34, 46, 49, 55]","[4, 9, 1, 17, 12, 3, 6]"
19,38,20,2,29.0,29,29,"[16, 45]",[29]
20,21,30,9,7.0,21,1,"[1, 2, 3, 7, 19, 40, 46, 53, 57]","[1, 1, 4, 12, 21, 6, 7, 4]"
21,19,36,5,7.75,15,2,"[28, 43, 52, 57, 59]","[15, 9, 5, 2]"
22,31,19,10,5.222222222222222,9,1,"[6, 14, 18, 23, 24, 32, 41, 44, 51, 53]","[8, 4, 5, 1, 8, 9, 3, 7, 2]"
23,25,28,7,8.333333333333334,24,2,"[3, 6, 30, 32, 37, 46, 53]","[3, 24, 2, 5, 9, 7]"
24,33,23,4,13.0,21,5,"[8, 13, 26, 47]","[5, 13, 21]"
25,30,27,3,17.0,24,10,"[11, 21, 45]","[10, 24]"
26,24,31,5,10.25,17,1,"[0, 14, 31, 40, 41]","[14, 17, 9, 1]"
27,28,30,2,8.0,8,8,"[43, 51]",[8]
28,31,27,2,43.0,43,43,"[16, 59]",[43]
29,35,22,3,15.0,20,10,"[27, 37, 57]","[10, 20]"
30,22,31,7,7.5,15,1,"[6, 21, 27, 28, 41, 48, 51]","[15, 6, 1, 13, 7, 3]"
31,28,27,5,12.75,20,2,"[2, 22, 40, 51, 53]","[20, 18, 11, 2]"
32,31,21,8,8.0,17,2,"[0, 8, 25, 27, 37, 42, 45, 56]","[8, 17, 2, 10, 5, 3, 11]"
33,24,31,5,8.5,13,2,"[2, 11, 24, 26, 36]","[9, 13, 2, 10]"
34,33,20,7,8.166666666666666,23,1,"[0, 10, 15, 17, 25, 48, 49]","[10, 5, 2, 8, 23, 1]"
35,23,26,11,5.1,10,1,"[8, 11, 21, 25, 33, 41, 43, 50, 56, 58, 59]","[3, 10, 4, 8, 8, 2, 7, 6, 2, 1]"
36,27,23,10,5.888888888888889,14,1,"[1, 4, 5, 19, 22, 32, 38, 41, 51, 54]","[3, 1, 14, 3, 10, 6, 3, 10, 3]"
37,20,29,11,5.1,16,1,"[7, 12, 28, 29, 36, 40, 41, 46, 47, 49, 58]","[5, 16, 1, 7, 4, 1, 5, 1, 2, 9]"
38,20,30,10,5.666666666666667,16,1,"[4, 5, 12, 15, 20, 21, 37, 38, 49, 55]","[1, 7, 3, 5, 1, 16, 1, 11, 6]"
39,22,30,8,8.0,26,1,"[3, 6, 7, 13, 19, 45, 54, 59]","[3, 1, 6, 6, 26, 9, 5]"
40,27,28,5,8.0,11,3,"[24, 27, 38, 49, 56]","[3, 11, 11, 7]"
41,28,29,3,14.5,17,12,"[10, 22, 39]","[12, 17]"
42,29,27,4,14.0,26,7,"[14, 21, 30, 56]","[7, 9, 26]"
43,26,25,9,6.625,21,1,"[0, 6, 7, 28, 29, 33, 49, 51, 53]","[6, 1, 21, 1, 4, 16, 2, 2]"
44,23,34,3,10.0,13,7,"[37, 50, 57]","[13, 7]"
45,30,23,7,6.0,11,1,"[3, 4, 6, 10, 19, 28, 39]","[1, 2, 4, 9, 9, 11]"
46,32,22,6,9.0,17,4,"[2, 12, 16, 26, 30, 47]","[10, 4, 10, 4, 17]"
47,26,31,3,27.5,44,11,"[0, 44, 55]","[44, 11]"
48,22,32,6,9.8,21,3,"[8, 11, 32, 36, 52, 57]","[3, 21, 4, 16, 5]"
49,21,29,10,6.222222222222222,32,1,"[3, 6, 9, 11, 12, 19, 21, 25, 57, 59]","[3, 3, 2, 1, 7, 2, 4, 32, 2]"
50,29,23,8,7.285714285714286,18,2,"[0, 7, 25, 29, 36, 38, 48, 51]","[7, 18, 4, 7, 2, 10, 3]"
51,23,30,7,7.166666666666667,17,4,"[1, 18, 22, 29, 34, 39, 44]","[17, 4, 7, 5, 5, 5]"
52,26,28,6,10.8,18,5,"[5, 23, 28, 39, 47, 59]","[18, 5, 11, 8, 12]"
53,30,22,8,6.714285714285714,21,1,"[2, 6, 7, 28, 33, 34, 42, 49]","[4, 1, 21, 5, 1, 8, 7]"
54,23,33,4,5.0,6,4,"[31, 35, 40, 46]","[4, 5, 6]"
55,25,25,10,5.888888888888889,13,1,"[3, 6, 7, 20, 30, 36, 41, 45, 48, 56]","[3, 1, 13, 10, 6, 5, 4, 3, 8]"
56,29,24,7,9.666666666666666,25,1,"[1, 8, 33, 48, 52, 58, 59]","[7, 25, 15, 4, 6, 1]"
57,23,31,6,10.0,21,1,"[7, 16, 21, 42, 43, 57]","[9, 5, 21, 1, 14]"
58,27,27,6,9.0,19,1,"[11, 22, 31, 32, 37, 56]","[11, 9, 1, 5, 19]"
59,23,35,2,41.0,41,41,"[2, 43]",[41]
60,25,24,11,3.3,7,2,"[9, 11, 14, 17, 22, 29, 31, 33, 35, 37, 42]","[2, 3, 3, 5, 7, 2, 2, 2, 2, 5]"
61,22,33,5,11.25,21,4,"[8, 29, 40, 49, 53]","[21, 11, 9, 4]"
62,34,23,3,11.5,22,1,"[0, 22, 23]","[22, 1]"
63,29,28,3,10.0,15,5,"[19, 24, 39]","[5, 15]"
64,32,22,6,9.6,23,2,"[8, 13, 24, 26, 49, 56]","[5, 11, 2, 23, 7]"
65,30,24,6,8.2,25,3,"[17, 20, 26, 51, 55, 58]","[3, 6, 25, 4, 3]"
66,30,23,7,6.833333333333333,17,1,"[16, 18, 25, 31, 48, 49, 57]","[2, 7, 6, 17, 1, 8]"
67,32,26,2,44.0,44,44,"[3, 47]",[44]
68,25,24,11,5.4,13,1,"[0, 4, 6, 19, 20, 21, 28, 39, 40, 50, 54]","[4, 2, 13, 1, 1, 7, 11, 1, 10, 4]"
69,25,31,4,7.333333333333333,9,6,"[21, 30, 36, 43]","[9, 6, 7]"
70,22,32,6,7.0,16,1,"[24, 28, 29, 45, 48, 59]","[4, 1, 16, 3, 11]"
71,28,26,6,8.8,17,1,"[13, 14, 31, 32, 44, 57]","[1, 17, 1, 12, 13]"
72,28,28,4,16.666666666666668,31,4,"[3, 18, 22, 53]","[15, 4, 31]"
73,24,30,6,8.6,29,1,"[9, 10, 11, 40, 50, 52]","[1, 1, 29, 10, 2]"
74,28,25,7,7.166666666666667,12,1,"[6, 16, 17, 19, 27, 37, 49]","[10, 1, 2, 8, 10, 12]"
75,28,26,6,9.2,28,1,"[2, 5, 13, 19, 47, 48]","[3, 8, 6, 28, 1]"
76,24,30,6,6.8,20,1,"[13, 33, 37, 39, 40, 47]","[20, 4, 2, 1, 7]"
77,22,32,6,7.2,10,5,"[10, 16, 21, 31, 41, 46]","[6, 5, 10, 10, 5]"
78,28,30,2,31.0,31,31,"[23, 54]",[31]
79,30,25,5,4.0,10,1,"[35, 39, 49, 50, 51]","[4, 10, 1, 1]"
80,24,28,8,7.285714285714286,17,2,"[0, 2, 13, 20, 24, 41, 46, 51]","[2, 11, 7, 4, 17, 5, 5]"
81,25,27,8,6.285714285714286,15,1,"[3, 10, 25, 30, 32, 33, 39, 47]","[7, 15, 5, 2, 1, 6, 8]"
82,27,30,3,25.0,49,1,"[8, 9, 58]","[1, 49]"
83,29,28,3,9.5,13,6,"[19, 32, 38]","[13, 6]"
84,22,35,3,21.5,37,6,"[8, 14, 51]","[6, 37]"
85,20,30,10,5.888888888888889,12,1,"[0, 1, 6, 10, 13, 21, 22, 34, 41, 53]","[1, 5, 4, 3, 8, 1, 12, 7, 12]"
86,25,26,9,4.5,15,1,"[3, 18, 26, 27, 29, 32, 34, 36, 39]","[15, 8, 1, 2, 3, 2, 2, 3]"
87,19,33,8,5.857142857142857,13,1,"[18, 23, 24, 29, 42, 46, 48, 59]","[5, 1, 5, 13, 4, 2, 11]"
88,22,26,12,4.818181818181818,15,1,"[1, 3, 6, 12, 27, 32, 38, 42, 50, 51, 52, 54]","[2, 3, 6, 15, 5, 6, 4, 8, 1, 1, 2]"
89,25,27,8,6.857142857142857,19,1,"[0, 1, 5, 8, 27, 43, 46, 48]","[1, 4, 3, 19, 16, 3, 2]"
90,31,22,7,9.333333333333334,17,2,"[2, 4, 19, 27, 38, 55, 58]","[2, 15, 8, 11, 17, 3]"
91,28,27,5,13.5,29,3,"[1, 15, 44, 47, 55]","[14, 29, 3, 8]"
92,25,33,2,3.0,3,3,"[19, 22]",[3]
93,29,26,5,14.0,27,7,"[1, 8, 35, 44, 57]","[7, 27, 9, 13]"
94,24,32,4,9.0,20,3,"[0, 3, 7, 27]","[3, 4, 20]"
95,30,21,9,5.625,11,1,"[1, 8, 18, 29, 31, 38, 43, 44, 46]","[7, 10, 11, 2, 7, 5, 1, 2]"
96,29,25,6,9.6,16,1,"[0, 16, 17, 24, 40, 48]","[16, 1, 7, 16, 8]"
97,26,27,7,5.833333333333333,19,1,"[15, 20, 24, 43, 45, 49, 50]","[5, 4, 19, 2, 4, 1]"
98,31,21,8,7.142857142857143,16,2,"[5, 9, 12, 14, 24, 33, 49, 55]","[4, 3, 2, 10, 9, 16, 6]"
99,31,23,6,7.8,14,2,"[15, 18, 20, 29, 40, 54]","[3, 2, 9, 11, 14]"
100,34,16,10,6.0,16,1,"[2, 4, 9, 25, 34, 35, 38, 42, 50, 56]","[2, 5, 16, 9, 1, 3, 4, 8, 6]"
