#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,22,29,9,6.0,15,2,"[4, 12, 19, 22, 24, 39, 41, 46, 52]","[8, 7, 3, 2, 15, 2, 5, 6]"
2,30,27,3,20.5,23,18,"[12, 35, 53]","[23, 18]"
3,29,25,6,6.6,20,1,"[1, 9, 10, 11, 31, 34]","[8, 1, 1, 20, 3]"
4,22,27,11,5.5,15,1,"[2, 6, 9, 13, 15, 24, 36, 37, 38, 53, 57]","[4, 3, 4, 2, 9, 12, 1, 1, 15, 4]"
5,27,22,11,5.0,22,1,"[3, 7, 12, 15, 18, 23, 25, 28, 30, 31, 53]","[4, 5, 3, 3, 5, 2, 3, 2, 1, 22]"
6,24,32,4,17.0,29,4,"[7, 25, 54, 58]","[18, 29, 4]"
7,28,23,9,6.375,12,1,"[1, 2, 10, 21, 27, 31, 34, 46, 52]","[1, 8, 11, 6, 4, 3, 12, 6]"
8,22,31,7,8.333333333333334,20,2,"[8, 13, 28, 30, 32, 52, 58]","[5, 15, 2, 2, 20, 6]"
9,22,33,5,10.25,23,1,"[12, 13, 17, 40, 53]","[1, 4, 23, 13]"
10,30,26,4,5.0,7,3,"[15, 20, 23, 30]","[5, 3, 7]"
11,21,31,8,5.142857142857143,14,1,"[4, 7, 11, 17, 20, 34, 35, 40]","[3, 4, 6, 3, 14, 1, 5]"
12,26,27,7,8.0,26,3,"[9, 35, 40, 46, 50, 53, 57]","[26, 5, 6, 4, 3, 4]"
13,25,30,5,4.75,8,2,"[0, 8, 15, 17, 19]","[8, 7, 2, 2]"
14,29,26,5,8.25,24,1,"[3, 27, 28, 33, 36]","[24, 1, 5, 3]"
15,34,24,2,33.0,33,33,"[16, 49]",[33]
16,28,29,3,16.0,17,15,"[8, 23, 40]","[15, 17]"
17,24,29,7,8.666666666666666,13,1,"[5, 9, 19, 20, 32, 45, 57]","[4, 10, 1, 12, 13, 12]"
18,37,19,4,17.666666666666668,20,16,"[1, 21, 38, 54]","[20, 17, 16]"
19,24,26,10,6.0,18,1,"[1, 3, 5, 9, 24, 25, 35, 36, 37, 55]","[2, 2, 4, 15, 1, 10, 1, 1, 18]"
20,34,19,7,7.833333333333333,20,1,"[11, 31, 33, 34, 44, 55, 58]","[20, 2, 1, 10, 11, 3]"
21,28,24,8,7.142857142857143,11,2,"[0, 3, 5, 14, 25, 34, 40, 50]","[3, 2, 9, 11, 9, 6, 10]"
22,24,29,7,9.666666666666666,24,1,"[1, 6, 13, 27, 51, 52, 59]","[5, 7, 14, 24, 1, 7]"
23,29,28,3,13.0,21,5,"[21, 26, 47]","[5, 21]"
24,36,20,4,12.0,34,1,"[13, 14, 48, 49]","[1, 34, 1]"
25,28,26,6,11.4,17,7,"[0, 7, 22, 29, 40, 57]","[7, 15, 7, 11, 17]"
26,19,30,11,5.3,12,1,"[3, 9, 21, 25, 28, 33, 44, 47, 48, 51, 56]","[6, 12, 4, 3, 5, 11, 3, 1, 3, 5]"
27,27,24,9,4.75,14,1,"[14, 22, 23, 26, 32, 35, 36, 38, 52]","[8, 1, 3, 6, 3, 1, 2, 14]"
28,34,19,7,7.833333333333333,14,2,"[1, 7, 15, 21, 32, 46, 48]","[6, 8, 6, 11, 14, 2]"
29,27,26,7,6.666666666666667,14,2,"[1, 7, 21, 29, 36, 38, 41]","[6, 14, 8, 7, 2, 3]"
30,22,33,5,6.75,21,1,"[2, 23, 26, 28, 29]","[21, 3, 2, 1]"
31,32,22,6,6.4,15,1,"[4, 5, 20, 23, 26, 36]","[1, 15, 3, 3, 10]"
32,24,26,10,6.333333333333333,13,1,"[0, 9, 15, 16, 22, 23, 25, 36, 44, 57]","[9, 6, 1, 6, 1, 2, 11, 8, 13]"
33,26,25,9,6.875,24,2,"[0, 4, 6, 8, 10, 15, 20, 31, 55]","[4, 2, 2, 2, 5, 5, 11, 24]"
34,24,29,7,8.666666666666666,14,3,"[3, 12, 22, 32, 38, 52, 55]","[9, 10, 10, 6, 14, 3]"
35,21,34,5,8.0,18,3,"[9, 12, 19, 23, 41]","[3, 7, 4, 18]"
