gap
6
1
8
22
12
12
14
2
3
26
7
9
13
5
28
4
4
2
5
3
39
8
6
1
4
10
6
2
32
5
2
4
10
47
4
38
21
2
1
6
6
3
7
34
2
2
38
3
15
1
4
1
19
9
10
5
11
3
3
