diff
"[(1, 0, 0, 3, 3), (1, 0, 0, 15, 12), (1, 0, 0, 20, 5), (1, 0, 0, 39, 19), (1, 0, 0, 49, 10), (1, 0, 0, 53, 4), (1, 0, 0, 57, 4), (1, 0, 0, 61, 4)]"
"[(1, 0, 1, 2, 2), (1, 0, 1, 12, 10), (1, 0, 1, 20, 8), (1, 0, 1, 24, 4), (1, 0, 1, 37, 13), (1, 0, 1, 43, 6), (1, 0, 1, 56, 13), (1, 0, 1, 61, 5)]"
"[(1, 0, 2, 1, 1), (1, 0, 2, 9, 8), (1, 0, 2, 14, 5), (1, 0, 2, 19, 5), (1, 0, 2, 22, 3), (1, 0, 2, 54, 32), (1, 0, 2, 61, 7)]"
"[(1, 0, 3, 7, 7), (1, 0, 3, 8, 1), (1, 0, 3, 9, 1), (1, 0, 3, 20, 11), (1, 0, 3, 23, 3), (1, 0, 3, 34, 11), (1, 0, 3, 49, 15), (1, 0, 3, 61, 12)]"
"[(1, 0, 4, 6, 6), (1, 0, 4, 7, 1), (1, 0, 4, 38, 31), (1, 0, 4, 42, 4), (1, 0, 4, 43, 1), (1, 0, 4, 57, 14), (1, 0, 4, 60, 3), (1, 0, 4, 61, 1)]"
"[(1, 0, 5, 3, 3), (1, 0, 5, 4, 1), (1, 0, 5, 6, 2), (1, 0, 5, 16, 10), (1, 0, 5, 48, 32), (1, 0, 5, 61, 13)]"
"[(1, 0, 6, 27, 27), (1, 0, 6, 29, 2), (1, 0, 6, 32, 3), (1, 0, 6, 34, 2), (1, 0, 6, 38, 4), (1, 0, 6, 53, 15), (1, 0, 6, 54, 1), (1, 0, 6, 55, 1), (1, 0, 6, 58, 3), (1, 0, 6, 61, 3)]"
"[(1, 0, 7, 2, 2), (1, 0, 7, 9, 7), (1, 0, 7, 11, 2), (1, 0, 7, 15, 4), (1, 0, 7, 37, 22), (1, 0, 7, 54, 17), (1, 0, 7, 56, 2), (1, 0, 7, 61, 5)]"
"[(1, 0, 8, 12, 12), (1, 0, 8, 15, 3), (1, 0, 8, 21, 6), (1, 0, 8, 22, 1), (1, 0, 8, 35, 13), (1, 0, 8, 39, 4), (1, 0, 8, 55, 16), (1, 0, 8, 61, 6)]"
"[(1, 0, 9, 5, 5), (1, 0, 9, 9, 4), (1, 0, 9, 19, 10), (1, 0, 9, 27, 8), (1, 0, 9, 30, 3), (1, 0, 9, 39, 9), (1, 0, 9, 43, 4), (1, 0, 9, 61, 18)]"
