gap
12
11
2
5
1
20
4
6
9
2
9
5
23
1
1
1
6
4
5
12
24
3
17
6
12
6
3
2
2
17
1
12
5
22
4
17
13
42
3
7
2
7
8
8
2
7
20
2
14
9
39
12
1
11
8
6
27
9
7
2
12
1
1
9
18
11
