diff
"[(0, 7, 0, 4, 4), (0, 7, 0, 5, 1), (0, 7, 0, 6, 1), (0, 7, 0, 8, 2), (0, 7, 0, 12, 4), (0, 7, 0, 33, 21), (0, 7, 0, 45, 12), (0, 7, 0, 61, 16)]"
"[(0, 7, 1, 3, 3), (0, 7, 1, 6, 3), (0, 7, 1, 19, 13), (0, 7, 1, 20, 1), (0, 7, 1, 21, 1), (0, 7, 1, 22, 1), (0, 7, 1, 42, 20), (0, 7, 1, 45, 3), (0, 7, 1, 61, 16)]"
"[(0, 7, 2, 11, 11), (0, 7, 2, 13, 2), (0, 7, 2, 40, 27), (0, 7, 2, 42, 2), (0, 7, 2, 43, 1), (0, 7, 2, 45, 2), (0, 7, 2, 51, 6), (0, 7, 2, 53, 2), (0, 7, 2, 58, 5), (0, 7, 2, 61, 3)]"
"[(0, 7, 3, 7, 7), (0, 7, 3, 19, 12), (0, 7, 3, 43, 24), (0, 7, 3, 44, 1), (0, 7, 3, 56, 12), (0, 7, 3, 61, 5)]"
"[(0, 7, 4, 1, 1), (0, 7, 4, 6, 5), (0, 7, 4, 27, 21), (0, 7, 4, 29, 2), (0, 7, 4, 61, 32)]"
"[(0, 7, 5, 19, 19), (0, 7, 5, 29, 10), (0, 7, 5, 40, 11), (0, 7, 5, 43, 3), (0, 7, 5, 61, 18)]"
"[(0, 7, 6, 12, 12), (0, 7, 6, 13, 1), (0, 7, 6, 19, 6), (0, 7, 6, 21, 2), (0, 7, 6, 31, 10), (0, 7, 6, 32, 1), (0, 7, 6, 33, 1), (0, 7, 6, 61, 28)]"
"[(0, 7, 7, 1, 1), (0, 7, 7, 12, 11), (0, 7, 7, 20, 8), (0, 7, 7, 22, 2), (0, 7, 7, 28, 6), (0, 7, 7, 38, 10), (0, 7, 7, 61, 23)]"
"[(0, 7, 8, 6, 6), (0, 7, 8, 14, 8), (0, 7, 8, 58, 44), (0, 7, 8, 61, 3)]"
"[(0, 7, 9, 1, 1), (0, 7, 9, 9, 8), (0, 7, 9, 11, 2), (0, 7, 9, 20, 9), (0, 7, 9, 23, 3), (0, 7, 9, 24, 1), (0, 7, 9, 33, 9), (0, 7, 9, 36, 3), (0, 7, 9, 40, 4), (0, 7, 9, 41, 1), (0, 7, 9, 53, 12), (0, 7, 9, 55, 2), (0, 7, 9, 57, 2), (0, 7, 9, 58, 1), (0, 7, 9, 61, 3)]"
