#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,30,26,4,19.333333333333332,32,1,"[0, 1, 33, 58]","[1, 32, 25]"
2,25,30,5,9.0,20,1,"[9, 21, 24, 44, 45]","[12, 3, 20, 1]"
3,29,23,8,5.571428571428571,13,2,"[20, 22, 25, 27, 39, 43, 46, 59]","[2, 3, 2, 12, 4, 3, 13]"
4,27,28,5,7.5,15,1,"[13, 14, 24, 39, 43]","[1, 10, 15, 4]"
5,18,36,6,10.0,19,1,"[0, 1, 8, 27, 34, 50]","[1, 7, 19, 7, 16]"
6,23,32,5,7.75,16,3,"[13, 29, 35, 38, 44]","[16, 6, 3, 6]"
7,32,25,3,23.5,36,11,"[2, 13, 49]","[11, 36]"
8,32,27,1,0,0,0,[35],[]
9,23,30,7,7.5,25,1,"[6, 7, 13, 19, 21, 46, 51]","[1, 6, 6, 2, 25, 5]"
10,29,26,5,6.75,13,1,"[30, 43, 48, 49, 57]","[13, 5, 1, 8]"
11,26,30,4,14.0,30,1,"[12, 13, 24, 54]","[1, 11, 30]"
12,26,28,6,7.4,16,1,"[15, 21, 31, 47, 51, 52]","[6, 10, 16, 4, 1]"
13,25,32,3,28.0,49,7,"[2, 9, 58]","[7, 49]"
14,28,24,8,6.571428571428571,18,2,"[8, 26, 29, 31, 37, 40, 45, 54]","[18, 3, 2, 6, 3, 5, 9]"
15,31,24,5,12.75,18,8,"[8, 26, 37, 45, 59]","[18, 11, 8, 14]"
16,25,29,6,10.4,26,1,"[4, 17, 43, 44, 48, 56]","[13, 26, 1, 4, 8]"
17,27,31,2,22.0,22,22,"[20, 42]",[22]
18,29,28,3,20.0,23,17,"[12, 35, 52]","[23, 17]"
19,26,29,5,12.75,19,7,"[4, 23, 30, 38, 55]","[19, 7, 8, 17]"
20,30,28,2,7.0,7,7,"[45, 52]",[7]
21,23,30,7,8.5,13,1,"[4, 14, 15, 28, 33, 44, 55]","[10, 1, 13, 5, 11, 11]"
22,25,26,9,6.625,16,1,"[1, 15, 23, 24, 26, 28, 35, 51, 54]","[14, 8, 1, 2, 2, 7, 16, 3]"
23,28,26,6,10.6,23,1,"[6, 21, 44, 50, 51, 59]","[15, 23, 6, 1, 8]"
24,27,28,5,5.25,8,3,"[5, 8, 15, 23, 26]","[3, 7, 8, 3]"
25,26,24,10,6.0,15,1,"[1, 3, 6, 13, 25, 40, 41, 46, 47, 55]","[2, 3, 7, 12, 15, 1, 5, 1, 8]"
26,23,31,6,8.8,21,3,"[13, 34, 43, 48, 54, 57]","[21, 9, 5, 6, 3]"
27,29,27,4,11.666666666666666,26,1,"[18, 44, 45, 53]","[26, 1, 8]"
28,27,30,3,7.5,9,6,"[15, 24, 30]","[9, 6]"
29,28,28,4,10.0,20,1,"[23, 43, 52, 53]","[20, 9, 1]"
30,23,31,6,8.6,11,3,"[8, 17, 27, 30, 40, 51]","[9, 10, 3, 10, 11]"
31,30,25,5,12.25,39,1,"[5, 7, 14, 15, 54]","[2, 7, 1, 39]"
32,24,30,6,8.4,22,2,"[7, 11, 13, 17, 27, 49]","[4, 2, 4, 10, 22]"
33,27,25,8,6.857142857142857,23,1,"[10, 13, 17, 40, 47, 50, 51, 58]","[3, 4, 23, 7, 3, 1, 7]"
34,22,27,11,5.5,12,2,"[1, 6, 16, 19, 27, 31, 43, 46, 51, 54, 56]","[5, 10, 3, 8, 4, 12, 3, 5, 3, 2]"
35,24,27,9,6.375,16,1,"[4, 6, 7, 23, 25, 34, 38, 48, 55]","[2, 1, 16, 2, 9, 4, 10, 7]"
36,33,23,4,5.333333333333333,11,2,"[19, 22, 33, 35]","[3, 11, 2]"
37,29,28,3,11.5,15,8,"[24, 32, 47]","[8, 15]"
38,27,29,4,7.0,14,1,"[11, 12, 18, 32]","[1, 6, 14]"
39,27,27,6,7.0,21,1,"[13, 18, 19, 21, 42, 48]","[5, 1, 2, 21, 6]"
40,29,26,5,11.0,21,6,"[13, 21, 42, 51, 57]","[8, 21, 9, 6]"
41,29,27,4,19.0,31,2,"[0, 24, 26, 57]","[24, 2, 31]"
42,33,22,5,7.5,11,3,"[6, 17, 20, 31, 36]","[11, 3, 11, 5]"
43,32,20,8,5.714285714285714,14,1,"[4, 18, 19, 21, 24, 25, 32, 44]","[14, 1, 2, 3, 1, 7, 12]"
44,24,28,8,5.571428571428571,19,1,"[17, 36, 41, 42, 47, 48, 53, 56]","[19, 5, 1, 5, 1, 5, 3]"
45,28,30,2,7.0,7,7,"[43, 50]",[7]
46,35,21,4,16.0,26,10,"[11, 21, 33, 59]","[10, 12, 26]"
47,26,29,5,10.25,12,9,"[2, 13, 22, 34, 43]","[11, 9, 12, 9]"
48,29,24,7,7.333333333333333,26,1,"[6, 13, 14, 40, 44, 47, 50]","[7, 1, 26, 4, 3, 3]"
49,25,28,7,7.333333333333333,12,1,"[14, 24, 33, 34, 45, 57, 58]","[10, 9, 1, 11, 12, 1]"
50,25,30,5,10.75,22,3,"[12, 34, 47, 52, 55]","[22, 13, 5, 3]"
51,26,29,5,13.75,30,3,"[4, 16, 19, 49, 59]","[12, 3, 30, 10]"
52,27,23,10,5.555555555555555,19,1,"[6, 11, 14, 33, 43, 47, 50, 51, 53, 56]","[5, 3, 19, 10, 4, 3, 1, 2, 3]"
53,36,18,6,8.4,25,1,"[14, 20, 45, 49, 55, 56]","[6, 25, 4, 6, 1]"
54,28,27,5,11.0,25,3,"[7, 13, 16, 26, 51]","[6, 3, 10, 25]"
55,26,30,4,12.666666666666666,18,8,"[11, 29, 37, 49]","[18, 8, 12]"
56,21,31,8,7.571428571428571,14,3,"[0, 3, 6, 11, 19, 31, 39, 53]","[3, 3, 5, 8, 12, 8, 14]"
57,33,26,1,0,0,0,[48],[]
58,26,26,8,6.0,16,2,"[4, 20, 22, 25, 37, 40, 42, 46]","[16, 2, 3, 12, 3, 2, 4]"
59,23,30,7,8.5,15,1,"[4, 5, 20, 33, 36, 41, 55]","[1, 15, 13, 3, 5, 14]"
60,31,25,4,16.0,24,6,"[10, 16, 40, 58]","[6, 24, 18]"
61,22,34,4,17.333333333333332,31,8,"[6, 14, 27, 58]","[8, 13, 31]"
62,27,30,3,14.0,26,2,"[3, 29, 31]","[26, 2]"
63,27,27,6,6.6,12,1,"[17, 24, 36, 39, 40, 50]","[7, 12, 3, 1, 10]"
64,29,25,6,7.8,10,5,"[2, 7, 15, 25, 34, 41]","[5, 8, 10, 9, 7]"
65,23,34,3,23.0,30,16,"[13, 43, 59]","[30, 16]"
66,25,31,4,7.666666666666667,18,1,"[31, 32, 50, 54]","[1, 18, 4]"
67,29,23,8,6.428571428571429,11,1,"[4, 7, 8, 18, 25, 33, 38, 49]","[3, 1, 10, 7, 8, 5, 11]"
68,28,26,6,11.4,21,3,"[2, 12, 15, 36, 44, 59]","[10, 3, 21, 8, 15]"
69,18,32,10,4.333333333333333,12,1,"[19, 24, 27, 29, 30, 42, 50, 51, 56, 58]","[5, 3, 2, 1, 12, 8, 1, 5, 2]"
70,30,25,5,6.75,14,3,"[31, 34, 37, 51, 58]","[3, 3, 14, 7]"
71,26,25,9,6.875,23,1,"[2, 5, 7, 13, 14, 22, 33, 56, 57]","[3, 2, 6, 1, 8, 11, 23, 1]"
72,31,23,6,10.8,25,1,"[2, 15, 21, 22, 31, 56]","[13, 6, 1, 9, 25]"
73,25,25,10,5.111111111111111,14,1,"[4, 9, 13, 15, 29, 31, 34, 35, 43, 50]","[5, 4, 2, 14, 2, 3, 1, 8, 7]"
74,30,24,6,11.6,21,2,"[0, 16, 33, 54, 56, 58]","[16, 17, 21, 2, 2]"
75,24,28,8,7.571428571428571,28,3,"[4, 8, 11, 16, 19, 23, 29, 57]","[4, 3, 5, 3, 4, 6, 28]"
76,27,22,11,5.4,19,1,"[1, 4, 9, 13, 18, 19, 38, 39, 43, 49, 55]","[3, 5, 4, 5, 1, 19, 1, 4, 6, 6]"
77,26,30,4,14.666666666666666,21,4,"[6, 27, 31, 50]","[21, 4, 19]"
78,31,22,7,3.6666666666666665,8,1,"[15, 18, 23, 31, 32, 33, 37]","[3, 5, 8, 1, 1, 4]"
79,27,28,5,11.75,26,5,"[0, 10, 15, 41, 47]","[10, 5, 26, 6]"
80,29,22,9,5.0,9,1,"[11, 12, 18, 21, 28, 32, 38, 47, 51]","[1, 6, 3, 7, 4, 6, 9, 4]"
81,33,20,7,7.833333333333333,18,1,"[12, 15, 33, 35, 36, 42, 59]","[3, 18, 2, 1, 6, 17]"
82,31,23,6,9.0,14,3,"[8, 19, 33, 36, 49, 53]","[11, 14, 3, 13, 4]"
83,35,18,7,8.333333333333334,17,4,"[9, 13, 17, 22, 31, 48, 59]","[4, 4, 5, 9, 17, 11]"
84,23,25,12,4.636363636363637,11,1,"[2, 5, 6, 9, 11, 22, 25, 28, 38, 46, 50, 53]","[3, 1, 3, 2, 11, 3, 3, 10, 8, 4, 3]"
85,29,26,5,12.5,33,4,"[2, 9, 15, 48, 52]","[7, 6, 33, 4]"
