diff
9
8
6
3
2
11
19
17
12
11
11
9
4
1
1
2
1
9
8
19
9
9
3
25
6
3
2
13
2
8
1
13
27
10
3
15
3
2
7
3
5
9
2
1
17
1
19
1
1
6
1
2
23
1
6
6
10
19
7
31
11
10
3
14
8
13
3
8
17
11
1
1
12
13
2
16
7
2
10
7
1
5
1
3
1
2
1
11
5
2
2
4
3
4
21
7
5
3
2
6
1
2
3
17
11
1
30
7
20
13
12
2
3
3
2
5
4
3
9
15
4
11
31
1
9
1
8
26
3
6
19
16
1
2
1
9
36
2
1
1
2
7
38
9
12
10
1
2
8
5
7
7
1
1
5
30
6
12
4
2
2
16
6
4
16
13
6
11
2
3
6
16
20
1
10
2
4
3
11
12
4
4
1
3
4
4
17
8
8
6
8
10
30
3
2
6
11
6
1
10
15
12
5
1
5
13
5
15
21
14
1
9
17
2
8
1
2
32
4
10
1
3
9
10
5
26
28
8
15
15
14
16
7
11
6
9
16
11
22
10
37
2
18
9
11
7
5
7
23
31
3
12
1
3
4
1
7
22
4
6
2
7
6
1
11
6
7
12
3
11
35
3
16
8
1
2
4
3
3
10
5
2
26
3
10
1
2
23
10
3
5
14
11
2
19
6
1
13
8
5
13
2
4
1
3
1
2
21
3
22
13
4
1
7
1
3
13
3
16
2
4
10
20
4
12
3
7
13
2
15
9
22
19
2
43
5
12
22
2
2
12
6
21
4
4
3
15
7
1
3
1
2
6
10
9
10
9
21
21
15
6
20
2
3
33
1
5
9
18
5
7
9
1
5
20
14
7
12
6
13
1
1
3
10
7
11
4
5
3
11
3
11
4
35
3
8
1
5
10
10
4
6
3
3
19
34
6
11
16
22
2
9
9
7
25
7
1
1
6
11
3
1
8
2
5
11
4
1
5
1
5
4
2
3
8
9
11
15
2
3
8
20
27
4
2
15
6
2
24
2
9
17
2
3
1
9
5
3
1
16
6
15
3
4
1
5
14
5
12
12
2
15
3
3
14
18
8
1
3
1
6
6
15
13
9
8
4
2
10
5
20
16
4
9
20
8
8
1
9
12
23
5
7
13
15
18
21
11
3
8
19
19
2
1
9
1
9
20
2
13
1
10
7
12
3
4
5
1
1
4
6
1
14
18
13
1
16
14
10
8
8
8
1
18
4
7
11
3
4
2
10
1
19
12
5
11
8
24
5
3
2
48
19
12
2
9
8
3
8
2
1
4
3
3
1
2
20
5
2
12
10
19
1
9
3
3
10
16
5
2
27
10
23
3
2
10
3
7
8
15
1
14
11
2
13
2
7
5
1
19
5
6
10
7
10
1
5
11
11
5
15
5
2
7
14
1
16
13
11
5
24
5
6
23
14
5
5
25
10
29
10
6
2
18
4
2
16
6
1
8
14
9
5
19
21
5
17
1
6
9
2
4
8
5
4
4
7
14
3
1
9
21
4
2
5
19
2
6
4
3
30
1
16
8
6
4
8
21
4
5
3
6
1
2
1
1
8
12
3
1
8
9
6
1
3
5
12
3
14
14
50
1
31
3
16
2
6
6
2
1
10
1
17
33
6
22
2
2
8
12
23
3
4
1
2
2
10
16
10
13
2
13
22
3
21
9
15
34
18
1
4
6
10
9
8
11
1
11
2
2
16
1
21
11
4
3
5
7
11
14
5
6
8
6
4
3
1
11
11
1
9
1
10
