gap
2
18
22
4
11
2
1
1
14
2
4
2
13
14
12
1
1
2
8
16
5
4
4
10
4
5
1
7
8
10
14
11
11
5
30
4
5
11
6
4
15
11
5
3
16
7
9
10
2
15
3
22
17
5
3
5
2
19
10
7
6
4
44
22
3
3
33
