gap
14
10
7
12
5
7
6
6
3
18
3
1
6
10
8
6
13
31
1
2
9
5
6
1
2
27
17
8
15
3
1
14
10
9
2
7
20
21
14
5
1
4
10
11
5
17
1
2
11
3
19
1
1
5
2
3
27
10
1
4
20
5
20
1
2
10
2
5
9
15
3
15
