diff
"[(1, 4, 0, 14, 14), (1, 4, 0, 28, 14), (1, 4, 0, 33, 5), (1, 4, 0, 44, 11), (1, 4, 0, 48, 4), (1, 4, 0, 52, 4), (1, 4, 0, 60, 8), (1, 4, 0, 61, 1)]"
"[(1, 4, 1, 7, 7), (1, 4, 1, 17, 10), (1, 4, 1, 18, 1), (1, 4, 1, 36, 18), (1, 4, 1, 52, 16), (1, 4, 1, 61, 9)]"
"[(1, 4, 2, 24, 24), (1, 4, 2, 36, 12), (1, 4, 2, 61, 25)]"
"[(1, 4, 3, 14, 14), (1, 4, 3, 35, 21), (1, 4, 3, 50, 15), (1, 4, 3, 61, 11)]"
"[(1, 4, 4, 6, 6), (1, 4, 4, 10, 4), (1, 4, 4, 17, 7), (1, 4, 4, 42, 25), (1, 4, 4, 49, 7), (1, 4, 4, 51, 2), (1, 4, 4, 61, 10)]"
"[(1, 4, 5, 16, 16), (1, 4, 5, 22, 6), (1, 4, 5, 29, 7), (1, 4, 5, 38, 9), (1, 4, 5, 61, 23)]"
"[(1, 4, 6, 3, 3), (1, 4, 6, 8, 5), (1, 4, 6, 13, 5), (1, 4, 6, 19, 6), (1, 4, 6, 56, 37), (1, 4, 6, 61, 5)]"
"[(1, 4, 7, 24, 24), (1, 4, 7, 25, 1), (1, 4, 7, 41, 16), (1, 4, 7, 45, 4), (1, 4, 7, 61, 16)]"
"[(1, 4, 8, 1, 1), (1, 4, 8, 7, 6), (1, 4, 8, 9, 2), (1, 4, 8, 11, 2), (1, 4, 8, 13, 2), (1, 4, 8, 15, 2), (1, 4, 8, 17, 2), (1, 4, 8, 43, 26), (1, 4, 8, 61, 18)]"
"[(1, 4, 9, 4, 4), (1, 4, 9, 6, 2), (1, 4, 9, 15, 9), (1, 4, 9, 61, 46)]"
