gap
2
1
16
8
15
14
5
30
24
7
6
6
6
4
12
1
26
2
4
7
8
4
20
5
1
9
1
5
18
1
21
6
8
2
17
8
2
2
11
21
20
7
5
19
5
5
11
25
4
4
8
4
5
2
5
2
4
6
17
8
17
17
14
7
23
