Month,Final Capital,Net Profit,Min Capital,Max Capital,Win Count,Loss Count,Daily Capital,Daily Win/Loss
1,30000,0,30000,30000,0,0,[30000],[]
2,30000,0,30000,30000,0,0,[30000],[]
