gap
7
12
5
4
8
9
4
6
2
2
2
7
12
1
1
16
8
16
9
3
4
8
28
9
17
35
5
4
9
6
11
8
6
4
9
3
5
2
8
1
15
3
2
30
27
12
4
18
3
21
9
28
4
18
6
6
7
3
16
1
4
9
20
16
3
9
