diff
21
1
15
14
10
7
13
8
12
19
2
1
9
12
8
1
10
20
10
3
8
29
11
1
11
7
25
14
3
8
4
4
4
29
12
3
1
11
8
10
1
25
2
24
6
5
6
7
3
10
9
30
8
7
7
5
1
1
16
18
5
15
