#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,27,26,7,7.833333333333333,21,1,"[2, 5, 9, 30, 33, 48, 49]","[3, 4, 21, 3, 15, 1]"
2,24,32,4,9.0,19,3,"[24, 29, 48, 51]","[5, 19, 3]"
3,33,23,4,15.333333333333334,25,6,"[10, 16, 41, 56]","[6, 25, 15]"
4,25,28,7,8.5,20,1,"[4, 11, 12, 16, 36, 38, 55]","[7, 1, 4, 20, 2, 17]"
5,28,27,5,7.25,12,2,"[9, 12, 24, 26, 38]","[3, 12, 2, 12]"
6,29,26,5,10.0,20,3,"[10, 30, 36, 47, 50]","[20, 6, 11, 3]"
7,26,29,5,8.0,17,3,"[9, 12, 29, 34, 41]","[3, 17, 5, 7]"
8,25,30,5,9.75,15,3,"[8, 17, 29, 44, 47]","[9, 12, 15, 3]"
9,30,28,2,5.0,5,5,"[9, 14]",[5]
10,27,25,8,5.142857142857143,11,1,"[6, 12, 14, 15, 16, 22, 33, 42]","[6, 2, 1, 1, 6, 11, 9]"
11,27,30,3,16.0,31,1,"[12, 43, 44]","[31, 1]"
12,24,28,8,8.285714285714286,15,3,"[1, 16, 20, 28, 40, 52, 56, 59]","[15, 4, 8, 12, 12, 4, 3]"
13,23,34,3,13.5,24,3,"[12, 36, 39]","[24, 3]"
14,27,29,4,7.666666666666667,10,3,"[16, 26, 29, 39]","[10, 3, 10]"
15,20,38,2,12.0,12,12,"[27, 39]",[12]
16,24,33,3,9.5,16,3,"[16, 32, 35]","[16, 3]"
17,22,35,3,21.0,25,17,"[0, 25, 42]","[25, 17]"
18,30,24,6,8.6,17,1,"[4, 21, 23, 37, 38, 47]","[17, 2, 14, 1, 9]"
19,28,28,4,7.0,17,2,"[30, 47, 49, 51]","[17, 2, 2]"
20,29,27,4,14.333333333333334,23,3,"[15, 38, 41, 58]","[23, 3, 17]"
21,27,26,7,8.833333333333334,34,1,"[4, 5, 6, 40, 42, 54, 57]","[1, 1, 34, 2, 12, 3]"
22,20,34,6,8.6,17,3,"[5, 22, 25, 38, 45, 48]","[17, 3, 13, 7, 3]"
23,33,20,7,9.833333333333334,20,3,"[0, 8, 22, 28, 31, 51, 59]","[8, 14, 6, 3, 20, 8]"
24,27,30,3,6.5,10,3,"[32, 42, 45]","[10, 3]"
25,23,30,7,7.833333333333333,12,1,"[5, 17, 22, 30, 41, 51, 52]","[12, 5, 8, 11, 10, 1]"
26,23,33,4,17.666666666666668,27,11,"[2, 17, 44, 55]","[15, 27, 11]"
27,25,25,10,4.555555555555555,18,1,"[9, 11, 29, 31, 33, 34, 37, 46, 48, 50]","[2, 18, 2, 2, 1, 3, 9, 2, 2]"
28,32,24,4,14.666666666666666,34,2,"[2, 10, 12, 46]","[8, 2, 34]"
29,27,31,2,3.0,3,3,"[47, 50]",[3]
30,26,33,1,0,0,0,[2],[]
31,24,33,3,17.5,30,5,"[9, 39, 44]","[30, 5]"
32,25,31,4,3.3333333333333335,8,1,"[6, 7, 8, 16]","[1, 1, 8]"
33,27,26,7,8.833333333333334,24,1,"[1, 14, 22, 23, 26, 30, 54]","[13, 8, 1, 3, 4, 24]"
34,23,31,6,7.2,16,2,"[13, 16, 19, 21, 37, 49]","[3, 3, 2, 16, 12]"
35,32,21,7,7.833333333333333,12,1,"[12, 13, 25, 34, 46, 58, 59]","[1, 12, 9, 12, 12, 1]"
36,31,26,3,21.0,22,20,"[0, 22, 42]","[22, 20]"
37,24,31,5,13.25,25,1,"[4, 29, 30, 39, 57]","[25, 1, 9, 18]"
38,26,30,4,9.666666666666666,15,5,"[13, 22, 27, 42]","[9, 5, 15]"
39,32,19,9,6.5,22,1,"[3, 6, 7, 29, 34, 36, 38, 45, 55]","[3, 1, 22, 5, 2, 2, 7, 10]"
40,26,28,6,8.4,20,1,"[10, 11, 22, 31, 32, 52]","[1, 11, 9, 1, 20]"
41,25,30,5,13.5,38,1,"[3, 5, 6, 19, 57]","[2, 1, 13, 38]"
42,35,20,5,10.75,25,1,"[7, 8, 23, 25, 50]","[1, 15, 2, 25]"
43,29,27,4,7.0,10,4,"[18, 22, 29, 39]","[4, 7, 10]"
44,27,28,5,12.5,21,1,"[2, 17, 38, 51, 52]","[15, 21, 13, 1]"
45,29,23,8,7.142857142857143,15,3,"[7, 22, 28, 34, 43, 47, 54, 57]","[15, 6, 6, 9, 4, 7, 3]"
46,30,27,3,17.0,30,4,"[17, 47, 51]","[30, 4]"
47,32,23,5,13.5,36,4,"[3, 7, 43, 52, 57]","[4, 36, 9, 5]"
48,28,26,6,9.0,28,1,"[14, 22, 29, 30, 58, 59]","[8, 7, 1, 28, 1]"
49,26,30,4,16.0,35,3,"[1, 36, 39, 49]","[35, 3, 10]"
50,30,21,9,6.875,14,1,"[3, 4, 18, 19, 27, 35, 42, 50, 58]","[1, 14, 1, 8, 8, 7, 8, 8]"
51,30,24,6,9.6,20,2,"[0, 19, 24, 26, 28, 48]","[19, 5, 2, 2, 20]"
52,25,29,6,7.6,15,1,"[5, 7, 18, 27, 42, 43]","[2, 11, 9, 15, 1]"
53,30,28,2,33.0,33,33,"[17, 50]",[33]
54,28,27,5,5.25,6,4,"[0, 4, 9, 15, 21]","[4, 5, 6, 6]"
55,20,27,13,4.083333333333333,11,1,"[0, 3, 7, 9, 12, 15, 26, 34, 41, 42, 45, 47, 49]","[3, 4, 2, 3, 3, 11, 8, 7, 1, 3, 2, 2]"
56,32,23,5,11.75,22,1,"[11, 24, 35, 36, 58]","[13, 11, 1, 22]"
57,24,27,9,7.0,13,3,"[2, 7, 20, 23, 28, 33, 42, 46, 58]","[5, 13, 3, 5, 5, 9, 4, 12]"
58,24,32,4,11.0,19,4,"[23, 33, 37, 56]","[10, 4, 19]"
59,26,29,5,13.0,24,2,"[5, 10, 12, 33, 57]","[5, 2, 21, 24]"
60,29,26,5,10.25,20,1,"[8, 26, 28, 48, 49]","[18, 2, 20, 1]"
61,25,25,10,6.222222222222222,16,1,"[0, 3, 16, 17, 33, 43, 50, 53, 55, 56]","[3, 13, 1, 16, 10, 7, 3, 2, 1]"
62,24,26,10,6.333333333333333,29,1,"[2, 5, 34, 38, 49, 51, 54, 55, 57, 59]","[3, 29, 4, 11, 2, 3, 1, 2, 2]"
63,24,28,8,7.857142857142857,19,1,"[2, 7, 20, 39, 42, 45, 56, 57]","[5, 13, 19, 3, 3, 11, 1]"
64,34,21,5,5.75,11,1,"[24, 25, 36, 38, 47]","[1, 11, 2, 9]"
65,25,28,7,7.166666666666667,14,2,"[7, 18, 25, 27, 32, 46, 50]","[11, 7, 2, 5, 14, 4]"
66,27,25,8,5.857142857142857,13,1,"[5, 10, 12, 22, 23, 36, 37, 46]","[5, 2, 10, 1, 13, 1, 9]"
67,25,31,4,10.666666666666666,23,1,"[27, 28, 51, 59]","[1, 23, 8]"
68,26,25,9,6.375,21,1,"[1, 2, 8, 13, 34, 37, 39, 48, 52]","[1, 6, 5, 21, 3, 2, 9, 4]"
69,30,28,2,6.0,6,6,"[22, 28]",[6]
70,27,28,5,12.5,24,5,"[5, 10, 34, 48, 55]","[5, 24, 14, 7]"
71,23,28,9,5.625,12,1,"[9, 12, 13, 25, 26, 36, 41, 52, 54]","[3, 1, 12, 1, 10, 5, 11, 2]"
72,29,25,6,9.6,29,1,"[9, 38, 48, 54, 56, 57]","[29, 10, 6, 2, 1]"
73,25,25,10,5.111111111111111,13,1,"[4, 17, 20, 22, 30, 36, 37, 38, 39, 50]","[13, 3, 2, 8, 6, 1, 1, 1, 11]"
74,27,25,8,4.857142857142857,14,1,"[8, 15, 16, 17, 18, 21, 35, 42]","[7, 1, 1, 1, 3, 14, 7]"
75,25,30,5,10.75,31,1,"[13, 14, 45, 50, 56]","[1, 31, 5, 6]"
76,23,31,6,6.8,21,1,"[18, 19, 25, 26, 47, 52]","[1, 6, 1, 21, 5]"
77,29,25,6,9.6,22,3,"[3, 15, 20, 26, 48, 51]","[12, 5, 6, 22, 3]"
78,32,21,7,8.0,13,5,"[8, 16, 21, 30, 35, 48, 56]","[8, 5, 9, 5, 13, 8]"
79,27,27,6,7.6,19,1,"[20, 26, 31, 50, 57, 58]","[6, 5, 19, 7, 1]"
80,28,28,4,17.666666666666668,23,13,"[3, 26, 39, 56]","[23, 13, 17]"
81,26,32,2,4.0,4,4,"[36, 40]",[4]
82,28,19,13,4.416666666666667,10,1,"[4, 10, 11, 16, 20, 21, 30, 31, 40, 50, 52, 53, 57]","[6, 1, 5, 4, 1, 9, 1, 9, 10, 2, 1, 4]"
83,29,26,5,13.75,22,9,"[2, 12, 21, 43, 57]","[10, 9, 22, 14]"
84,27,24,9,7.0,14,2,"[1, 10, 21, 35, 41, 43, 49, 54, 57]","[9, 11, 14, 6, 2, 6, 5, 3]"
85,23,29,8,8.428571428571429,17,3,"[0, 3, 12, 15, 19, 33, 42, 59]","[3, 9, 3, 4, 14, 9, 17]"
86,28,28,4,15.333333333333334,19,13,"[9, 22, 36, 55]","[13, 14, 19]"
87,22,30,8,6.0,19,1,"[6, 14, 16, 19, 21, 22, 29, 48]","[8, 2, 3, 2, 1, 7, 19]"
88,31,25,4,7.333333333333333,11,3,"[7, 15, 26, 29]","[8, 11, 3]"
89,23,25,12,4.545454545454546,10,1,"[0, 4, 5, 7, 8, 12, 19, 23, 27, 36, 46, 50]","[4, 1, 2, 1, 4, 7, 4, 4, 9, 10, 4]"
90,25,27,8,7.571428571428571,23,1,"[4, 10, 21, 22, 45, 53, 54, 57]","[6, 11, 1, 23, 8, 1, 3]"
91,32,21,7,9.333333333333334,20,1,"[0, 7, 16, 19, 39, 40, 56]","[7, 9, 3, 20, 1, 16]"
92,31,23,6,8.4,9,6,"[12, 21, 30, 36, 45, 54]","[9, 9, 6, 9, 9]"
93,29,21,10,5.666666666666667,19,1,"[0, 1, 11, 16, 19, 38, 41, 47, 49, 51]","[1, 10, 5, 3, 19, 3, 6, 2, 2]"
94,26,29,5,13.0,45,2,"[0, 2, 4, 49, 52]","[2, 2, 45, 3]"
95,30,25,5,7.75,15,2,"[28, 43, 52, 57, 59]","[15, 9, 5, 2]"
96,23,31,6,10.0,23,2,"[1, 24, 27, 29, 34, 51]","[23, 3, 2, 5, 17]"
97,21,34,5,12.25,26,4,"[6, 32, 37, 41, 55]","[26, 5, 4, 14]"
98,30,22,8,7.571428571428571,14,1,"[1, 10, 13, 22, 36, 37, 46, 54]","[9, 3, 9, 14, 1, 9, 8]"
